#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0927600.1-p1   -             86 14966at5820          -             76   5.4e-55  182.1   0.8   1   1   1.2e-57   6.1e-55  181.9   0.8     1    76     5    80     5    80 0.99 | transcript=PVP01_0927600.1 | gene=PVP01_0927600 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=PvP01_09_v2:1217183-1218081(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1229600.1-p1   -             77 14966at5820          -             76   1.3e-16   59.1   0.0   1   1   2.6e-19   1.3e-16   59.1   0.0     5    73     5    73     1    77 0.95 | transcript=PVP01_1229600.1 | gene=PVP01_1229600 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=PvP01_12_v2:1183413-1183646(+) | protein_length=77 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907800.1-p1   -            127 14966at5820          -             76   7.9e-05   21.4   0.0   1   1   2.1e-07   0.00011   20.9   0.0    10    74     8    73     2    75 0.85 | transcript=PVP01_0907800.1 | gene=PVP01_0907800 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=PvP01_09_v2:411259-412094(+) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1013600.1-p1   -            103 14966at5820          -             76   0.00019   20.1   0.0   1   1   4.7e-07   0.00023   19.8   0.0    16    47    15    46     4    73 0.78 | transcript=PVP01_1013600.1 | gene=PVP01_1013600 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm2, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm2, putative | location=PvP01_10_v2:608071-608760(-) | protein_length=103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204600.1-p1   -             94 14966at5820          -             76   0.00058   18.6   0.1   1   1   1.3e-06   0.00068   18.4   0.1    28    75    41    89    16    90 0.85 | transcript=PVP01_1204600.1 | gene=PVP01_1204600 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=PvP01_12_v2:185359-186110(+) | protein_length=94 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514400.1-p1   -             91 14966at5820          -             76    0.0013   17.4   0.0   1   1   4.3e-06    0.0022   16.7   0.0     5    50     9    54     4    89 0.87 | transcript=PVP01_0514400.1 | gene=PVP01_0514400 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=PvP01_05_v2:604006-604844(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512000.1-p1   -             83 14966at5820          -             76    0.0031   16.2   0.1   1   1   7.9e-06    0.0039   15.9   0.1    16    70    20    73     9    78 0.85 | transcript=PVP01_0512000.1 | gene=PVP01_0512000 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=PvP01_05_v2:514732-515202(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926200.1-p1   -            127 14966at5820          -             76    0.0039   15.9   1.0   1   1   2.6e-05     0.013   14.2   1.0     8    70     5    77     2    83 0.78 | transcript=PVP01_0926200.1 | gene=PVP01_0926200 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein Sm D1, putative | transcript_product=small nuclear ribonucleoprotein Sm D1, putative | location=PvP01_09_v2:1161102-1161485(-) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334100.1-p1   -            201 14966at5820          -             76    0.0041   15.9   0.1   1   1   2.5e-05     0.012   14.3   0.0    26    69    23    74     6    81 0.72 | transcript=PVP01_1334100.1 | gene=PVP01_1334100 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=PvP01_13_v2:1467665-1468515(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263700.1-p1   -            101 14966at5820          -             76    0.0043   15.8   0.2   1   1   1.1e-05    0.0054   15.5   0.2     8    50    14    56     9    78 0.87 | transcript=PVP01_1263700.1 | gene=PVP01_1263700 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=PvP01_12_v2:2632824-2633500(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308300.1-p1   -            107 14966at5820          -             76    0.0096   14.7   0.0   1   1   2.6e-05     0.013   14.2   0.0    15    52    25    62    14    71 0.88 | transcript=PVP01_1308300.1 | gene=PVP01_1308300 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=PvP01_13_v2:385227-386003(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505100.1-p1   -             95 14966at5820          -             76     0.014   14.2   0.3   1   1   3.8e-05     0.019   13.7   0.3    20    73    16    71     4    75 0.77 | transcript=PVP01_0505100.1 | gene=PVP01_0505100 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=PvP01_05_v2:234631-235447(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017000.1-p1   -            165 14966at5820          -             76      0.03   13.1   0.0   1   1    0.0001     0.051   12.3   0.0    26    68    98   139    88   146 0.82 | transcript=PVP01_1017000.1 | gene=PVP01_1017000 | organism=Plasmodium_vivax_P01 | gene_product=60S ribosomal protein L12, putative | transcript_product=60S ribosomal protein L12, putative | location=PvP01_10_v2:751856-752847(+) | protein_length=165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14966at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14966at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14966at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:47 2026
# [ok]
