#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1024600.1-p1   -           2740 395at5820            -           2124         0 3753.7  32.6   1   3         0         0 2637.6   8.6     1  1398     1  1726     1  1732 0.95 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 395at5820            -           2124         0 3753.7  32.6   2   3  2.4e-170  5.7e-168  559.5   1.3  1399  1823  1763  2273  1758  2322 0.83 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 395at5820            -           2124         0 3753.7  32.6   3   3  7.2e-172  1.7e-169  564.5   7.3  1781  2123  2389  2738  2358  2739 0.83 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 395at5820            -           2124  8.5e-146  485.9  72.6   1   7   7.1e-12   1.6e-09   34.0   3.9    11   124    16   128     4   183 0.79 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 395at5820            -           2124  8.5e-146  485.9  72.6   2   7   1.7e-53   3.9e-51  172.0   0.1   455   724   319   585   290   588 0.89 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 395at5820            -           2124  8.5e-146  485.9  72.6   3   7    0.0063       1.5    4.3   0.1   767   790   594   617   590   621 0.86 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 395at5820            -           2124  8.5e-146  485.9  72.6   4   7   1.8e-08   4.3e-06   22.6   0.2   830   913   724   807   704   823 0.85 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 395at5820            -           2124  8.5e-146  485.9  72.6   5   7   5.6e-48   1.3e-45  153.7   0.4  1230  1363   868  1001   824  1026 0.88 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 395at5820            -           2124  8.5e-146  485.9  72.6   6   7   1.8e-24   4.2e-22   75.7   0.1  1451  1546  1327  1426  1295  1451 0.73 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 395at5820            -           2124  8.5e-146  485.9  72.6   7   7   8.1e-19   1.9e-16   57.0   0.7  1981  2119  1825  1962  1813  1966 0.91 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 395at5820            -           2124  3.4e-131  437.5  50.3   1   8   1.7e-09     4e-07   26.0   6.5    10   118    55   161    48   226 0.88 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
