#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0618600.1-p1   -            700 4451at5820           -            552  1.1e-275  914.2  33.5   1   2   1.5e-07     7e-05   20.3   2.4     1    27    20    46    20    52 0.90 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 4451at5820           -            552  1.1e-275  914.2  33.5   2   2  1.1e-273  5.3e-271  898.7  23.4    27   551    76   697    60   698 0.94 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4451at5820           -            552     8e-15   53.1  16.4   1   7     0.039        18    2.4   0.0   135   173    48    85    39    89 0.78 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4451at5820           -            552     8e-15   53.1  16.4   2   7    0.0051       2.4    5.4   0.2   132   176    87   130    79   132 0.82 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4451at5820           -            552     8e-15   53.1  16.4   3   7   2.6e-07   0.00012   19.5   0.1   135   169   132   165   127   179 0.87 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4451at5820           -            552     8e-15   53.1  16.4   4   7   4.3e-06     0.002   15.5   0.1   135   177   246   287   239   290 0.92 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4451at5820           -            552     8e-15   53.1  16.4   5   7   8.2e-07   0.00038   17.9   0.1   133   173   288   328   285   336 0.92 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4451at5820           -            552     8e-15   53.1  16.4   6   7      0.51   2.4e+02   -1.2   0.0    49    98   345   394   339   400 0.79 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4451at5820           -            552     8e-15   53.1  16.4   7   7       0.7   3.2e+02   -1.7   0.7    95   135   597   637   522   684 0.70 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 4451at5820           -            552   1.3e-11   42.5  17.6   1   4   1.3e-08   5.9e-06   23.9   0.6   135   172   139   176    42   180 0.80 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 4451at5820           -            552   1.3e-11   42.5  17.6   2   4   1.5e-06   0.00071   17.0   0.1   135   174   187   227   179   231 0.86 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
