#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1030000.1-p1   -           1914 595at5820            -           1280         0 2430.5 111.5   1   7   4.6e-89   7.5e-86  287.5   8.2     1   181     1   192     1   198 0.93 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 595at5820            -           1280         0 2430.5 111.5   2   7  2.2e-129  3.6e-126  421.1  13.5   178   391   315   529   307   544 0.96 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 595at5820            -           1280         0 2430.5 111.5   3   7  2.8e-114  4.6e-111  371.0   6.5   389   594   592   799   581   803 0.92 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 595at5820            -           1280         0 2430.5 111.5   4   7     0.064     1e+02   -1.2   0.1   566   585   916   935   913   942 0.85 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 595at5820            -           1280         0 2430.5 111.5   5   7  7.4e-149  1.2e-145  485.6  18.9   581   842  1047  1316  1021  1335 0.93 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 595at5820            -           1280         0 2430.5 111.5   6   7     0.003       4.8    3.2   0.2   840   856  1344  1360  1339  1363 0.90 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 595at5820            -           1280         0 2430.5 111.5   7   7  5.9e-272  9.6e-269  893.4  22.6   853  1280  1474  1914  1455  1914 0.97 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213500.1-p1   -           1690 595at5820            -           1280   1.1e-35  121.3  69.1   1   6    0.0084        14    1.7   8.3   140   216   195   271   142   288 0.75 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213500.1-p1   -           1690 595at5820            -           1280   1.1e-35  121.3  69.1   2   6   5.3e-14   8.6e-11   38.8   1.9   241   391   439   593   425   600 0.80 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213500.1-p1   -           1690 595at5820            -           1280   1.1e-35  121.3  69.1   3   6   2.5e-14     4e-11   39.9   5.4   385   550   640   818   618   839 0.74 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213500.1-p1   -           1690 595at5820            -           1280   1.1e-35  121.3  69.1   4   6     1e-11   1.7e-08   31.3   0.3   706   826  1043  1163  1038  1175 0.86 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
