#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1265000.1-p1   -            185 12531at5820          -            161   2.6e-95  315.3  14.7   1   1   6.7e-97   2.3e-94  312.3  14.7     1   161     1   181     1   181 0.92 | transcript=PVP01_1265000.1 | gene=PVP01_1265000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2704793-2705612(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619800.1-p1   -            178 12531at5820          -            161   4.3e-38  129.3   2.1   1   1   1.8e-40   6.1e-38  128.9   2.1     9   157    14   177     6   178 0.88 | transcript=PVP01_0619800.1 | gene=PVP01_0619800 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_06_v2:806517-807053(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606100.1-p1   -            181 12531at5820          -            161   7.8e-33  112.3   0.1   1   1   3.7e-35   1.3e-32  111.6   0.1     7   157    12   177     7   180 0.82 | transcript=PVP01_0606100.1 | gene=PVP01_0606100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=PvP01_06_v2:245359-246687(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526200.1-p1   -            191 12531at5820          -            161   2.4e-19   68.4   0.0   1   1   8.5e-22   2.9e-19   68.1   0.0    11   125    19   140    10   180 0.84 | transcript=PVP01_0526200.1 | gene=PVP01_0526200 | organism=Plasmodium_vivax_P01 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=PvP01_05_v2:1058972-1059963(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718900.1-p1   -            191 12531at5820          -            161   1.2e-12   46.6   1.2   1   1   5.1e-15   1.7e-12   46.1   1.2     5   160    15   182    12   183 0.80 | transcript=PVP01_0718900.1 | gene=PVP01_0718900 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_07_v2:834565-835956(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411600.1-p1   -            205 12531at5820          -            161   1.5e-08   33.3   0.5   1   1   7.6e-11   2.6e-08   32.5   0.5    49   150    82   185    25   196 0.67 | transcript=PVP01_1411600.1 | gene=PVP01_1411600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=PvP01_14_v2:524820-526310(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918300.1-p1   -            214 12531at5820          -            161   2.1e-08   32.9   0.2   1   1   2.3e-10     8e-08   31.0   0.2    11   157     8   167     4   170 0.77 | transcript=PVP01_0918300.1 | gene=PVP01_0918300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=PvP01_09_v2:809758-810578(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112100.1-p1   -            203 12531at5820          -            161   2.4e-08   32.6   2.0   1   1   9.7e-11   3.3e-08   32.2   2.0    11   133    25   163    20   185 0.72 | transcript=PVP01_1112100.1 | gene=PVP01_1112100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_11_v2:501498-502541(-) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020100.1-p1   -            207 12531at5820          -            161   4.2e-07   28.6   0.9   1   1   2.4e-09   8.2e-07   27.7   0.9    41   123    53   134    11   157 0.72 | transcript=PVP01_1020100.1 | gene=PVP01_1020100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=PvP01_10_v2:874174-874797(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417100.1-p1   -            207 12531at5820          -            161   2.4e-06   26.2   1.7   1   1   8.2e-08   2.8e-05   22.7   1.7    51   155    72   185     9   189 0.65 | transcript=PVP01_1417100.1 | gene=PVP01_1417100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_14_v2:749526-750672(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945600.1-p1   -            207 12531at5820          -            161   3.1e-05   22.5   0.3   1   1     2e-07     7e-05   21.4   0.3    12   125    11   135     7   172 0.72 | transcript=PVP01_0945600.1 | gene=PVP01_0945600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=PvP01_09_v2:1987820-1989251(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
