#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0941200.1-p1   -           1716 656at5820            -           1340         0 2351.0 121.5   1   3  2.6e-276  2.8e-273  908.5  42.2     1   536     1   688     1   698 0.88 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941200.1-p1   -           1716 656at5820            -           1340         0 2351.0 121.5   2   3         0         0 1136.2  50.6   537  1136   734  1455   725  1465 0.97 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941200.1-p1   -           1716 656at5820            -           1340         0 2351.0 121.5   3   3   4.7e-94   5.1e-91  304.7  13.5  1132  1340  1493  1716  1457  1716 0.86 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 656at5820            -           1340   9.8e-88  293.8  37.2   1   5     1e-19   1.1e-16   58.4   0.1   133   219    93   179    18   190 0.82 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 656at5820            -           1340   9.8e-88  293.8  37.2   2   5   4.2e-25   4.6e-22   76.2   0.0   264   346   184   276   179   281 0.85 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 656at5820            -           1340   9.8e-88  293.8  37.2   3   5   3.1e-49   3.4e-46  156.2   4.4   406   844   382   777   365   783 0.84 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 656at5820            -           1340   9.8e-88  293.8  37.2   4   5   0.00042      0.45    6.7   1.8   979  1008   884   913   876   920 0.89 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 656at5820            -           1340   9.8e-88  293.8  37.2   5   5   0.00086      0.94    5.6   9.3   952  1037   928  1018   918  1080 0.74 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1212200.1-p1   -            817 656at5820            -           1340   6.6e-65  218.2  19.2   1   3   3.3e-17   3.6e-14   50.1   0.0   132   217   123   209    99   221 0.88 | transcript=PVP01_1212200.1 | gene=PVP01_1212200 | organism=Plasmodium_vivax_P01 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=PvP01_12_v2:539112-541853(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1212200.1-p1   -            817 656at5820            -           1340   6.6e-65  218.2  19.2   2   3   4.4e-24   4.8e-21   72.9   0.1   268   367   219   320   210   334 0.88 | transcript=PVP01_1212200.1 | gene=PVP01_1212200 | organism=Plasmodium_vivax_P01 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=PvP01_12_v2:539112-541853(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1212200.1-p1   -            817 656at5820            -           1340   6.6e-65  218.2  19.2   3   3   5.8e-29   6.3e-26   89.0  15.2   408   888   333   769   327   814 0.81 | transcript=PVP01_1212200.1 | gene=PVP01_1212200 | organism=Plasmodium_vivax_P01 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=PvP01_12_v2:539112-541853(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
