#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0616300.1-p1   -            369 6781at5820           -            324  8.7e-193  638.3  63.2   1   1    2e-195  1.1e-192  638.0  63.2     1   316    11   338    11   353 0.97 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 6781at5820           -            324   1.2e-29  102.2  29.7   1   2   3.3e-25   1.8e-22   78.6  12.2     2   123    48   169    47   170 0.97 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 6781at5820           -            324   1.2e-29  102.2  29.7   2   2   2.5e-11   1.4e-08   33.0  12.4    88   187   157   258   144   294 0.84 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 6781at5820           -            324   1.6e-20   72.2  26.8   1   4       1.4   7.9e+02   -2.3   0.1   142   150   208   216   187   266 0.55 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 6781at5820           -            324   1.6e-20   72.2  26.8   2   4   5.5e-07    0.0003   18.8   1.4   228   279   829   884   813   886 0.66 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 6781at5820           -            324   1.6e-20   72.2  26.8   3   4   1.8e-17   9.6e-15   53.2   8.4     3   125   881  1008   879  1031 0.90 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 6781at5820           -            324   1.6e-20   72.2  26.8   4   4   5.7e-06    0.0031   15.4   0.8    72   125  1268  1320  1255  1343 0.53 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 6781at5820           -            324   4.8e-18   64.1  23.4   1   1   1.8e-12   9.6e-10   36.8   4.8    46   133   156   244   145   251 0.88 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419900.1-p1   -            191 6781at5820           -            324   3.7e-16   57.9   9.4   1   1   9.1e-19   4.9e-16   57.5   9.4    14   125    36   147    24   176 0.67 | transcript=PVP01_0419900.1 | gene=PVP01_0419900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_04_v2:815831-817052(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 6781at5820           -            324     2e-14   52.2  28.7   1   2   5.6e-07    0.0003   18.7   8.0    69   113    44    88    17   104 0.74 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 6781at5820           -            324     2e-14   52.2  28.7   2   2   2.9e-13   1.6e-10   39.4  12.7    74   184   229   339   176   354 0.86 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
