#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0931800.1-p1   -            156 14831at5820          -            106   2.2e-37  126.0  12.2   1   2   1.2e-39   2.2e-37  126.0  12.2     1   101     1   112     1   119 0.78 | transcript=PVP01_0931800.1 | gene=PVP01_0931800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=PvP01_09_v2:1363219-1363689(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931800.1-p1   -            156 14831at5820          -            106   2.2e-37  126.0  12.2   2   2       6.8   1.3e+03   -1.8  13.9    77   106   117   155   103   155 0.66 | transcript=PVP01_0931800.1 | gene=PVP01_0931800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=PvP01_09_v2:1363219-1363689(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 14831at5820          -            106   8.7e-16   56.6  18.4   1   4   0.00032      0.06   12.1   0.0     4    67    16    85    13   101 0.85 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 14831at5820          -            106   8.7e-16   56.6  18.4   2   4   1.4e-06   0.00027   19.6   2.1     6    80   106   185   102   195 0.82 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 14831at5820          -            106   8.7e-16   56.6  18.4   3   4   2.3e-08   4.3e-06   25.4   0.2     5    85   194   278   191   290 0.80 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 14831at5820          -            106   8.7e-16   56.6  18.4   4   4    0.0021       0.4    9.4   0.0     5    80   450   530   447   547 0.82 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14831at5820          -            106   1.1e-11   43.4  13.3   1   3   1.5e-11   2.9e-09   35.6   2.4     3    88    17   103    15   120 0.79 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14831at5820          -            106   1.1e-11   43.4  13.3   2   3      0.43        81    2.0   0.3     5    73   119   193   115   208 0.66 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14831at5820          -            106   1.1e-11   43.4  13.3   3   3   0.00019     0.035   12.8   0.4     5    75   210   287   205   300 0.79 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 14831at5820          -            106   3.2e-11   41.9   6.1   1   2   1.2e-06   0.00022   19.9   0.2     2    71    18    93    17   108 0.75 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 14831at5820          -            106   3.2e-11   41.9   6.1   2   2   6.2e-08   1.2e-05   24.0   1.9     5    84   108   191   104   207 0.82 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727700.1-p1   -            287 14831at5820          -            106   1.2e-10   40.0  12.4   1   2   1.5e-09   2.8e-07   29.2   5.9     7    98    50   140    45   145 0.73 | transcript=PVP01_0727700.1 | gene=PVP01_0727700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_07_v2:1172908-1174656(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727700.1-p1   -            287 14831at5820          -            106   1.2e-10   40.0  12.4   2   2   5.4e-05      0.01   14.6   0.4     3    69   209   280   207   285 0.86 | transcript=PVP01_0727700.1 | gene=PVP01_0727700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_07_v2:1172908-1174656(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319600.1-p1   -           1341 14831at5820          -            106   1.5e-07   30.1   2.7   1   2   7.8e-05     0.014   14.1   0.1     7    76   160   228   155   243 0.87 | transcript=PVP01_0319600.1 | gene=PVP01_0319600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:811055-815704(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319600.1-p1   -           1341 14831at5820          -            106   1.5e-07   30.1   2.7   2   2   1.8e-08   3.3e-06   25.8   0.3     3    78   899   978   897  1006 0.82 | transcript=PVP01_0319600.1 | gene=PVP01_0319600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:811055-815704(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 14831at5820          -            106   2.9e-07   29.2   0.7   1   2    0.0066       1.2    7.8   0.1     6   100    23   123    19   130 0.77 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 14831at5820          -            106   2.9e-07   29.2   0.7   2   2   1.4e-06   0.00025   19.7   0.1     4    75   172   248   168   250 0.81 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1465300.1-p1   -            390 14831at5820          -            106   6.6e-07   28.0   0.5   1   1     1e-08   1.9e-06   26.5   0.3     4    72   224   293   221   300 0.90 | transcript=PVP01_1465300.1 | gene=PVP01_1465300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor RBM22, putative | transcript_product=pre-mRNA-splicing factor RBM22, putative | location=PvP01_14_v2:2784980-2786152(+) | protein_length=390 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 14831at5820          -            106   1.2e-06   27.1   0.2   1   3    0.0092       1.7    7.4   0.0     7    40    91   124    87   146 0.85 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 14831at5820          -            106   1.2e-06   27.1   0.2   2   3   0.00091      0.17   10.6   0.0     5    62   188   251   184   279 0.76 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
