#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1234200.1-p1   -            543 6066at5820           -            462  1.3e-233  774.3  54.0   1   2   4.8e-76   3.9e-73  245.2  19.0     1   189    26   243    26   249 0.89 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234200.1-p1   -            543 6066at5820           -            462  1.3e-233  774.3  54.0   2   2  5.5e-164  4.5e-161  535.2  27.3   176   462   251   543   240   543 0.96 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 6066at5820           -            462   3.8e-38  129.9   5.2   1   3   8.5e-17     7e-14   49.9   0.1   316   437    22   137    16   157 0.81 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 6066at5820           -            462   3.8e-38  129.9   5.2   2   3   3.6e-08     3e-05   21.5   1.1    44   195    78   228    73   264 0.75 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 6066at5820           -            462   3.8e-38  129.9   5.2   3   3   2.8e-24   2.3e-21   74.6   0.0   289   432   318   454   309   478 0.83 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 6066at5820           -            462   1.8e-14   51.9  11.0   1   2   4.6e-06    0.0038   14.5   3.8   341   452    46   149    31   158 0.63 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 6066at5820           -            462   1.8e-14   51.9  11.0   2   2   4.1e-14   3.3e-11   41.1   1.4   315   460   155   296   149   298 0.75 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717800.1-p1   -            518 6066at5820           -            462     2e-10   38.5   0.3   1   2      0.92   7.5e+02   -2.9   0.1    90    95   142   147    83   192 0.48 | transcript=PVP01_0717800.1 | gene=PVP01_0717800 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase PDI-Trans, putative | transcript_product=protein disulfide-isomerase PDI-Trans, putative | location=PvP01_07_v2:790787-792741(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717800.1-p1   -            518 6066at5820           -            462     2e-10   38.5   0.3   2   2   2.5e-13     2e-10   38.5   0.3   279   416   354   487   346   517 0.87 | transcript=PVP01_0717800.1 | gene=PVP01_0717800 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase PDI-Trans, putative | transcript_product=protein disulfide-isomerase PDI-Trans, putative | location=PvP01_07_v2:790787-792741(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249700.1-p1   -            104 6066at5820           -            462   1.5e-06   25.7   0.0   1   1     2e-09   1.6e-06   25.6   0.0   327   377     2    49     1   100 0.77 | transcript=PVP01_1249700.1 | gene=PVP01_1249700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=PvP01_12_v2:2029499-2029947(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 6066at5820           -            462   4.2e-06   24.2  18.3   1   3   2.8e-06    0.0023   15.2   3.3   316   378   174   235   167   243 0.82 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
