#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0510800.1-p1   -            628 7587at5820           -            324    3e-134  446.0  69.3   1   6       1.5   1.9e+03   -3.6   0.6   230   264    13    46     6    54 0.52 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 7587at5820           -            324    3e-134  446.0  69.3   2   6   3.8e-96     5e-93  310.5  36.6     2   159    57   211    56   231 0.95 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 7587at5820           -            324    3e-134  446.0  69.3   3   6   2.9e-06    0.0037   15.2   0.1   153   172   247   266   243   270 0.91 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 7587at5820           -            324    3e-134  446.0  69.3   4   6   6.3e-05     0.082   10.8   0.2   176   195   310   329   299   346 0.83 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 7587at5820           -            324    3e-134  446.0  69.3   5   6   6.2e-07   0.00081   17.4   0.1   187   224   391   432   374   450 0.75 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 7587at5820           -            324    3e-134  446.0  69.3   6   6   1.2e-35   1.6e-32  111.7   4.9   208   324   481   626   463   626 0.74 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008000.1-p1   -            301 7587at5820           -            324   3.1e-29  100.9  31.7   1   1   3.2e-32   4.1e-29  100.5  31.7    11   185    31   206    21   253 0.85 | transcript=PVP01_1008000.1 | gene=PVP01_1008000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=PvP01_10_v2:356001-356906(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 7587at5820           -            324   8.9e-15   53.4  35.6   1   3   6.8e-18   8.9e-15   53.4  35.6    17   129    89   201    84   203 0.96 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 7587at5820           -            324   8.9e-15   53.4  35.6   2   3      0.11   1.4e+02    0.2  14.3    74   113   194   235   188   247 0.44 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 7587at5820           -            324   8.9e-15   53.4  35.6   3   3    0.0074       9.7    4.0  17.3    21   118   247   338   241   487 0.87 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803400.1-p1   -            286 7587at5820           -            324   4.5e-05   21.5  31.8   1   2   3.4e-08   4.5e-05   21.5  31.8    13    96    51   136    41   154 0.90 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
