#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1249400.1-p1   -            439 7030at5820           -            387  4.3e-243  804.8  15.5   1   2  1.2e-183  3.2e-181  601.1  10.1     1   281     1   298     1   301 0.97 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 7030at5820           -            387  4.3e-243  804.8  15.5   2   2     7e-64   1.8e-61  206.9   0.2   281   387   323   438   319   438 0.97 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 7030at5820           -            387   1.9e-91  305.6   2.2   1   2   3.5e-43   9.2e-41  138.7   0.2    96   313   470   697   461   703 0.88 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 7030at5820           -            387   1.9e-91  305.6   2.2   2   2   1.4e-51   3.8e-49  166.3   0.2    98   382   792  1082   787  1087 0.86 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 7030at5820           -            387   4.5e-82  274.7   0.0   1   2   6.4e-40   1.7e-37  128.0   0.0    95   312   200   427   191   434 0.88 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 7030at5820           -            387   4.5e-82  274.7   0.0   2   2   6.9e-45   1.8e-42  144.4   0.0    97   380   475   780   465   784 0.82 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 7030at5820           -            387   1.3e-62  210.6  20.5   1   5       7.5   1.9e+03   -3.9   0.1    48    86   137   174   135   178 0.81 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 7030at5820           -            387   1.3e-62  210.6  20.5   2   5   3.1e-09   8.1e-07   27.0   0.1    88   160   330   405   313   429 0.78 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 7030at5820           -            387   1.3e-62  210.6  20.5   3   5   1.3e-16   3.3e-14   51.3   3.0   168   313   470   625   464   649 0.83 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 7030at5820           -            387   1.3e-62  210.6  20.5   4   5   7.9e-43   2.1e-40  137.6   1.6   100   281   768   952   751   964 0.92 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 7030at5820           -            387   1.3e-62  210.6  20.5   5   5     0.022       5.8    4.4   0.0   285   318  1092  1129  1084  1154 0.76 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
