#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1132000.1-p1   -           1293 2168at5820           -            946         0 1725.9 128.5   1   5  1.2e-146  2.6e-143  477.7  30.5     1   233     1   234     1   242 0.98 | transcript=PVP01_1132000.1 | gene=PVP01_1132000 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=PvP01_11_v2:1368961-1373738(-) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132000.1-p1   -           1293 2168at5820           -            946         0 1725.9 128.5   2   5   7.1e-69   1.5e-65  220.3  11.7   232   362   345   487   341   494 0.93 | transcript=PVP01_1132000.1 | gene=PVP01_1132000 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=PvP01_11_v2:1368961-1373738(-) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132000.1-p1   -           1293 2168at5820           -            946         0 1725.9 128.5   3   5  7.5e-111  1.6e-107  359.2  17.5   363   552   544   733   528   737 0.94 | transcript=PVP01_1132000.1 | gene=PVP01_1132000 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=PvP01_11_v2:1368961-1373738(-) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132000.1-p1   -           1293 2168at5820           -            946         0 1725.9 128.5   4   5     5e-91   1.1e-87  293.6   8.1   549   707   777   942   772   963 0.94 | transcript=PVP01_1132000.1 | gene=PVP01_1132000 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=PvP01_11_v2:1368961-1373738(-) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132000.1-p1   -           1293 2168at5820           -            946         0 1725.9 128.5   5   5  3.5e-121  7.6e-118  393.4  28.8   705   946  1016  1293  1008  1293 0.90 | transcript=PVP01_1132000.1 | gene=PVP01_1132000 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=PvP01_11_v2:1368961-1373738(-) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 2168at5820           -            946   7.4e-31  105.5  45.7   1   4   6.7e-27   1.5e-23   81.4   9.3     9   178     5   169     1   182 0.93 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 2168at5820           -            946   7.4e-31  105.5  45.7   2   4   7.9e-12   1.7e-08   31.5  12.7   370   540   321   487   304   537 0.79 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 2168at5820           -            946   7.4e-31  105.5  45.7   3   4      0.05   1.1e+02   -0.9   2.3   341   434   553   646   547   651 0.66 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 2168at5820           -            946   7.4e-31  105.5  45.7   4   4   2.8e-05     0.061    9.8   1.4   613   683   637   707   620   727 0.83 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 2168at5820           -            946   9.8e-21   72.0  33.1   1   4   3.2e-17     7e-14   49.3  14.4    13   214    20   212    13   222 0.84 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 2168at5820           -            946   9.8e-21   72.0  33.1   2   4   7.6e-14   1.6e-10   38.2  10.7   330   524   243   434   218   456 0.80 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 2168at5820           -            946   9.8e-21   72.0  33.1   3   4    0.0047        10    2.4   5.9   572   670   633   737   602   787 0.68 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 2168at5820           -            946   9.8e-21   72.0  33.1   4   4       1.8     4e+03   -6.1   5.6   696   781  1208  1300  1186  1315 0.50 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2168at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2168at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2168at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:20 2026
# [ok]
