#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8   1  18   1.7e-18   3.7e-15   52.7   0.0     1    63     1    70     1    77 0.92 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8   2  18   2.4e-65   5.2e-62  208.1  20.1    62   247   101   310    96   320 0.89 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8   3  18   3.3e-17   7.2e-14   48.4   7.8   242   316   346   441   340   445 0.79 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8   4  18   1.5e-06    0.0032   13.1   1.5   316   381   481   581   473   587 0.75 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8   5  18   9.7e-48   2.1e-44  149.7  37.7   400   553   770   969   766   972 0.82 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8   6  18   3.3e-30   7.1e-27   91.5   0.1   546   623  1021  1098  1018  1101 0.94 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8   7  18  2.5e-167  5.5e-164  546.4  42.9   616   965  1164  1540  1161  1544 0.92 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8   8  18    0.0019         4    2.8   0.6   960   987  1628  1655  1621  1659 0.87 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8   9  18     1e-62   2.2e-59  199.4  22.1   977  1099  1690  1812  1682  1818 0.95 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8  10  18     2e-32   4.3e-29   98.9  10.0  1098  1162  1872  1936  1862  1939 0.95 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8  11  18  6.9e-166  1.5e-162  541.6  47.9  1159  1550  1979  2421  1972  2431 0.88 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
