#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0828100.1-p1   -            736 6388at5820           -            540  2.2e-276  916.2  24.8   1   5   1.6e-21     1e-18   65.8   0.0     5    53    10    58     6    62 0.94 | transcript=PVP01_0828100.1 | gene=PVP01_0828100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:1215633-1217843(-) | protein_length=736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828100.1-p1   -            736 6388at5820           -            540  2.2e-276  916.2  24.8   2   5   5.6e-07   0.00037   17.7   0.0    58    84    89   115    82   122 0.88 | transcript=PVP01_0828100.1 | gene=PVP01_0828100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:1215633-1217843(-) | protein_length=736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828100.1-p1   -            736 6388at5820           -            540  2.2e-276  916.2  24.8   3   5   1.3e-11   8.6e-09   33.0   0.0    84   112   165   193   161   220 0.91 | transcript=PVP01_0828100.1 | gene=PVP01_0828100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:1215633-1217843(-) | protein_length=736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828100.1-p1   -            736 6388at5820           -            540  2.2e-276  916.2  24.8   4   5   7.5e-40   4.9e-37  126.2   0.2   110   204   230   328   229   336 0.93 | transcript=PVP01_0828100.1 | gene=PVP01_0828100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:1215633-1217843(-) | protein_length=736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828100.1-p1   -            736 6388at5820           -            540  2.2e-276  916.2  24.8   5   5  2.9e-204  1.9e-201  668.8  22.1   204   540   399   736   395   736 1.00 | transcript=PVP01_0828100.1 | gene=PVP01_0828100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:1215633-1217843(-) | protein_length=736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807000.1-p1   -            609 6388at5820           -            540   4.2e-05   20.8   3.5   1   2      0.54   3.6e+02   -2.0   0.3   175   193   239   257   213   262 0.77 | transcript=PVP01_0807000.1 | gene=PVP01_0807000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_08_v2:302200-304231(+) | protein_length=609 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807000.1-p1   -            609 6388at5820           -            540   4.2e-05   20.8   3.5   2   2   6.4e-08   4.2e-05   20.8   3.5   460   536   530   607   515   608 0.76 | transcript=PVP01_0807000.1 | gene=PVP01_0807000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_08_v2:302200-304231(+) | protein_length=609 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141800.1-p1   -            401 6388at5820           -            540   0.00011   19.5   3.7   1   3       5.6   3.6e+03   -5.4   5.5   239   302    67   126    54   149 0.62 | transcript=PVP01_1141800.1 | gene=PVP01_1141800 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_11_v2:1772224-1773631(+) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141800.1-p1   -            401 6388at5820           -            540   0.00011   19.5   3.7   2   3        10   6.5e+03   -9.2   9.4   356   377   136   158   110   183 0.52 | transcript=PVP01_1141800.1 | gene=PVP01_1141800 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_11_v2:1772224-1773631(+) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141800.1-p1   -            401 6388at5820           -            540   0.00011   19.5   3.7   3   3   1.7e-07   0.00011   19.5   3.7   482   536   335   390   326   393 0.82 | transcript=PVP01_1141800.1 | gene=PVP01_1141800 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_11_v2:1772224-1773631(+) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004000.1-p1   -            284 6388at5820           -            540   0.00017   18.8   0.9   1   2        10   6.5e+03   -6.7   9.9   358   464    65   172    19   203 0.62 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
