#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1238900.1-p1   -           1661 1067at5820           -            869         0 1621.6 110.0   1   9  1.6e-169  5.2e-166  553.2  20.2     1   272     1   273     1   281 0.98 | transcript=PVP01_1238900.1 | gene=PVP01_1238900 | organism=Plasmodium_vivax_P01 | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=PvP01_12_v2:1558381-1563892(-) | protein_length=1661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238900.1-p1   -           1661 1067at5820           -            869         0 1621.6 110.0   2   9   3.3e-12   1.1e-08   32.7   0.4   263   295   349   381   341   387 0.89 | transcript=PVP01_1238900.1 | gene=PVP01_1238900 | organism=Plasmodium_vivax_P01 | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=PvP01_12_v2:1558381-1563892(-) | protein_length=1661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238900.1-p1   -           1661 1067at5820           -            869         0 1621.6 110.0   3   9   1.4e-22   4.5e-19   67.0   6.8   295   363   527   598   523   603 0.80 | transcript=PVP01_1238900.1 | gene=PVP01_1238900 | organism=Plasmodium_vivax_P01 | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=PvP01_12_v2:1558381-1563892(-) | protein_length=1661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238900.1-p1   -           1661 1067at5820           -            869         0 1621.6 110.0   4   9   1.3e-15   4.1e-12   44.0   4.9   318   381   607   671   603   700 0.85 | transcript=PVP01_1238900.1 | gene=PVP01_1238900 | organism=Plasmodium_vivax_P01 | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=PvP01_12_v2:1558381-1563892(-) | protein_length=1661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238900.1-p1   -           1661 1067at5820           -            869         0 1621.6 110.0   5   9     0.045   1.5e+02   -0.8   0.0   377   394   803   820   799   837 0.80 | transcript=PVP01_1238900.1 | gene=PVP01_1238900 | organism=Plasmodium_vivax_P01 | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=PvP01_12_v2:1558381-1563892(-) | protein_length=1661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238900.1-p1   -           1661 1067at5820           -            869         0 1621.6 110.0   6   9   3.5e-06     0.011   12.8   3.2   389   424   845   880   825   915 0.70 | transcript=PVP01_1238900.1 | gene=PVP01_1238900 | organism=Plasmodium_vivax_P01 | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=PvP01_12_v2:1558381-1563892(-) | protein_length=1661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238900.1-p1   -           1661 1067at5820           -            869         0 1621.6 110.0   7   9   0.00033       1.1    6.2   0.1   421   441  1088  1108  1084  1111 0.88 | transcript=PVP01_1238900.1 | gene=PVP01_1238900 | organism=Plasmodium_vivax_P01 | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=PvP01_12_v2:1558381-1563892(-) | protein_length=1661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238900.1-p1   -           1661 1067at5820           -            869         0 1621.6 110.0   8   9   0.00076       2.5    5.0   0.2   444   464  1200  1223  1176  1243 0.68 | transcript=PVP01_1238900.1 | gene=PVP01_1238900 | organism=Plasmodium_vivax_P01 | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=PvP01_12_v2:1558381-1563892(-) | protein_length=1661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238900.1-p1   -           1661 1067at5820           -            869         0 1621.6 110.0   9   9  7.1e-285  2.3e-281  934.8  26.1   464   869  1256  1661  1253  1661 1.00 | transcript=PVP01_1238900.1 | gene=PVP01_1238900 | organism=Plasmodium_vivax_P01 | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=PvP01_12_v2:1558381-1563892(-) | protein_length=1661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915000.1-p1   -            372 1067at5820           -            869     0.011   12.8  17.2   1   3     0.066   2.1e+02   -1.4   1.2   229   314     9    51     2    92 0.43 | transcript=PVP01_0915000.1 | gene=PVP01_0915000 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_09_v2:681318-684314(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915000.1-p1   -            372 1067at5820           -            869     0.011   12.8  17.2   2   3   0.00011      0.36    7.8   0.1    76   130    93   147    60   154 0.83 | transcript=PVP01_0915000.1 | gene=PVP01_0915000 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_09_v2:681318-684314(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
