#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1116700.1-p1   -            970 4937at5820           -            604  5.1e-276  915.4  50.2   1   5   3.3e-76   3.5e-73  245.5  22.1     1   184    58   260    58   279 0.90 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 4937at5820           -            604  5.1e-276  915.4  50.2   2   5   4.3e-14   4.7e-11   40.3   0.0   177   218   370   411   363   419 0.91 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 4937at5820           -            604  5.1e-276  915.4  50.2   3   5   1.6e-45   1.8e-42  144.1   1.6   218   310   441   540   438   545 0.93 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 4937at5820           -            604  5.1e-276  915.4  50.2   4   5   1.5e-91   1.7e-88  296.1   1.7   310   484   621   800   616   814 0.93 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 4937at5820           -            604  5.1e-276  915.4  50.2   5   5   2.6e-64   2.9e-61  206.2   1.0   477   604   840   970   835   970 0.97 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236200.1-p1   -            443 4937at5820           -            604   7.2e-17   59.5   2.1   1   1     1e-19   1.1e-16   58.9   2.1   473   547   335   409   327   441 0.82 | transcript=PVP01_1236200.1 | gene=PVP01_1236200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein RAP21, putative | transcript_product=RAP protein RAP21, putative | location=PvP01_12_v2:1440485-1441985(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4937at5820           -            604   2.9e-08   31.1   0.2   1   4      0.37     4e+02   -2.4   0.5    20    62   448   490   434   551 0.58 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4937at5820           -            604   2.9e-08   31.1   0.2   2   4      0.03        32    1.2   5.7   257   358   695   803   616   809 0.78 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4937at5820           -            604   2.9e-08   31.1   0.2   3   4   0.00012      0.13    9.1   0.1   366   462   866   962   855   967 0.81 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4937at5820           -            604   2.9e-08   31.1   0.2   4   4   2.7e-11   2.9e-08   31.1   0.2   477   535  1034  1091  1025  1114 0.82 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924200.1-p1   -            730 4937at5820           -            604   6.3e-07   26.7   5.0   1   2     0.043        47    0.7   1.8    18   107   295   393   280   403 0.73 | transcript=PVP01_0924200.1 | gene=PVP01_0924200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_09_v2:1084084-1086276(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
