#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0105700.1-p1   -           2780 438at5820            -           1966         0 3043.3 236.6   1   5  3.9e-299  2.3e-296  985.3  41.9     1   638     1   871     1   904 0.85 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105700.1-p1   -           2780 438at5820            -           1966         0 3043.3 236.6   2   5         0         0 1166.6  94.6   657  1393   971  1921   927  1930 0.89 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105700.1-p1   -           2780 438at5820            -           1966         0 3043.3 236.6   3   5   8.7e-15   5.2e-12   42.4   7.0  1394  1472  1992  2100  1980  2128 0.74 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105700.1-p1   -           2780 438at5820            -           1966         0 3043.3 236.6   4   5   1.8e-10   1.1e-07   28.1  11.2  1468  1585  2152  2338  2126  2349 0.75 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105700.1-p1   -           2780 438at5820            -           1966         0 3043.3 236.6   5   5  2.8e-253  1.7e-250  833.2  50.2  1584  1966  2378  2778  2364  2778 0.92 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117600.1-p1   -            820 438at5820            -           1966   9.7e-31  104.5  12.2   1   3   1.7e-13     1e-10   38.1   3.6   445   611   187   370    46   378 0.69 | transcript=PVP01_1117600.1 | gene=PVP01_1117600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=PvP01_11_v2:748830-751292(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117600.1-p1   -            820 438at5820            -           1966   9.7e-31  104.5  12.2   2   3   7.4e-19   4.4e-16   55.9   0.0   669   864   378   614   372   623 0.79 | transcript=PVP01_1117600.1 | gene=PVP01_1117600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=PvP01_11_v2:748830-751292(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117600.1-p1   -            820 438at5820            -           1966   9.7e-31  104.5  12.2   3   3   6.7e-06    0.0039   12.9   2.7   984  1057   624   698   604   719 0.84 | transcript=PVP01_1117600.1 | gene=PVP01_1117600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=PvP01_11_v2:748830-751292(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117700.1-p1   -           1296 438at5820            -           1966   9.1e-20   68.1  24.9   1   4   7.6e-11   4.5e-08   29.3   1.3   530   610   180   257   137   260 0.79 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117700.1-p1   -           1296 438at5820            -           1966   9.1e-20   68.1  24.9   2   4   1.7e-17     1e-14   51.3   5.9   664   846   260   439   258   467 0.77 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117700.1-p1   -           1296 438at5820            -           1966   9.1e-20   68.1  24.9   3   4     0.062        37   -0.3   0.0   986  1051   457   521   442   532 0.82 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
