#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0112200.1-p1   -            545 5689at5820           -            427  2.4e-243  806.0   8.8   1   2     6e-36   5.6e-33  112.9   0.9     1    86    26   125    26   138 0.87 | transcript=PVP01_0112200.1 | gene=PVP01_0112200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=PvP01_01_v2:557180-558817(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112200.1-p1   -            545 5689at5820           -            427  2.4e-243  806.0   8.8   2   2  2.1e-213  1.9e-210  697.6   1.5    93   427   186   534   156   534 0.95 | transcript=PVP01_0112200.1 | gene=PVP01_0112200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=PvP01_01_v2:557180-558817(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319200.1-p1   -            723 5689at5820           -            427  3.6e-107  357.3  11.3   1   3       1.6   1.5e+03   -3.9   0.1   316   338    68    90    65   101 0.81 | transcript=PVP01_1319200.1 | gene=PVP01_1319200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=PvP01_13_v2:877201-880554(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319200.1-p1   -            723 5689at5820           -            427  3.6e-107  357.3  11.3   2   3   4.3e-84     4e-81  271.5   1.9   106   324   246   465   229   486 0.94 | transcript=PVP01_1319200.1 | gene=PVP01_1319200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=PvP01_13_v2:877201-880554(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319200.1-p1   -            723 5689at5820           -            427  3.6e-107  357.3  11.3   3   3   1.1e-29   1.1e-26   92.2   0.4   316   426   581   702   572   703 0.90 | transcript=PVP01_1319200.1 | gene=PVP01_1319200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=PvP01_13_v2:877201-880554(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340900.1-p1   -            450 5689at5820           -            427   4.6e-39  132.9   7.8   1   1   7.4e-42   6.9e-39  132.3   7.8   110   426   129   448    94   449 0.87 | transcript=PVP01_1340900.1 | gene=PVP01_1340900 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=PvP01_13_v2:1801248-1802600(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828500.1-p1   -            438 5689at5820           -            427   4.4e-38  129.7   0.1   1   1   5.7e-41   5.3e-38  129.4   0.1    73   426    56   434    48   435 0.76 | transcript=PVP01_0828500.1 | gene=PVP01_0828500 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin VI, putative | transcript_product=plasmepsin VI, putative | location=PvP01_08_v2:1226330-1229494(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241100.1-p1   -            373 5689at5820           -            427   1.7e-35  121.2   1.5   1   1   2.4e-38   2.3e-35  120.7   1.5   117   425    47   371    21   373 0.80 | transcript=PVP01_1241100.1 | gene=PVP01_1241100 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin VIII, putative | transcript_product=plasmepsin VIII, putative | location=PvP01_12_v2:1676367-1679131(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618900.1-p1   -            479 5689at5820           -            427   1.9e-13   48.5   3.3   1   1   6.1e-16   5.7e-13   46.9   3.3   118   416    84   427    63   437 0.68 | transcript=PVP01_0618900.1 | gene=PVP01_0618900 | organism=Plasmodium_vivax_P01 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=PvP01_06_v2:775043-777616(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1231100.1-p1   -            540 5689at5820           -            427    0.0044   14.4   4.1   1   2   7.3e-06    0.0068   13.7   0.2   123   279    65   232    58   240 0.59 | transcript=PVP01_1231100.1 | gene=PVP01_1231100 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin V | transcript_product=plasmepsin V | location=PvP01_12_v2:1242916-1244538(-) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1231100.1-p1   -            540 5689at5820           -            427    0.0044   14.4   4.1   2   2     0.065        61    0.7   0.4   292   357   283   352   276   359 0.76 | transcript=PVP01_1231100.1 | gene=PVP01_1231100 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin V | transcript_product=plasmepsin V | location=PvP01_12_v2:1242916-1244538(-) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5689at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
