#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1326300.1-p1   -            995 4147at5820           -            788         0 1166.9   6.6   1   2  5.3e-227    7e-225  747.3   0.0     1   456     1   581     1   600 0.89 | transcript=PVP01_1326300.1 | gene=PVP01_1326300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1141831-1144818(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326300.1-p1   -            995 4147at5820           -            788         0 1166.9   6.6   2   2  1.7e-124  2.2e-122  408.3  16.0   447   788   605   995   594   995 0.73 | transcript=PVP01_1326300.1 | gene=PVP01_1326300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1141831-1144818(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 4147at5820           -            788   1.1e-06   25.6  31.6   1   3   8.6e-09   1.1e-06   25.6  31.6   487   593   485   604   474   658 0.55 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 4147at5820           -            788   1.1e-06   25.6  31.6   2   3      0.69        92   -0.5   0.5   554   589   793   828   770   868 0.58 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 4147at5820           -            788   1.1e-06   25.6  31.6   3   3       3.2   4.3e+02   -2.7   0.8   384   423   961   999   958  1002 0.84 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 4147at5820           -            788   3.3e-05   20.8  28.4   1   2   0.00057     0.075    9.7  53.5   502   618   714   823   681   842 0.39 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 4147at5820           -            788   3.3e-05   20.8  28.4   2   2   2.5e-07   3.3e-05   20.8  28.4   529   641  1039  1146   977  1164 0.48 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 4147at5820           -            788   0.00012   19.0  62.0   1   2   1.3e-05    0.0017   15.1  39.4   447   589   159   309   141   394 0.51 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 4147at5820           -            788   0.00012   19.0  62.0   2   2   0.00084      0.11    9.1  14.5   462   581   455   578   426   635 0.46 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814200.1-p1   -           1596 4147at5820           -            788   0.00024   18.0  16.8   1   4    0.0074      0.99    6.0  15.9   502   615   225   338   172   360 0.42 | transcript=PVP01_0814200.1 | gene=PVP01_0814200 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein MSA180 | transcript_product=merozoite surface protein MSA180 | location=PvP01_08_v2:613890-618680(+) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814200.1-p1   -           1596 4147at5820           -            788   0.00024   18.0  16.8   2   4   1.8e-06   0.00024   18.0  16.8   531   645   452   558   407   561 0.49 | transcript=PVP01_0814200.1 | gene=PVP01_0814200 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein MSA180 | transcript_product=merozoite surface protein MSA180 | location=PvP01_08_v2:613890-618680(+) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
