#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3   1  29   1.6e-22     1e-18   63.5   0.2    33    86   165   218   161   223 0.95 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3   2  29   9.4e-35   6.1e-31  104.1   0.7    87   160   273   346   261   350 0.92 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3   3  29   3.9e-18   2.6e-14   48.9   0.4   156   209   374   429   371   445 0.92 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3   4  29   7.8e-90   5.1e-86  286.9   3.6   213   391   486   686   476   693 0.89 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3   5  29  3.6e-159  2.3e-155  517.1  14.3   396   711   725  1063   717  1069 0.96 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3   6  29   2.4e-55   1.6e-51  172.4   0.1   725   815  1131  1221  1117  1243 0.88 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3   7  29   7.7e-95     5e-91  303.5   0.2   810   995  1257  1456  1254  1467 0.92 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3   8  29  3.2e-219  2.1e-215  716.4   4.9   986  1311  1490  1815  1484  1821 0.99 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3   9  29         0         0 1298.1  14.3  1311  1988  1844  2599  1837  2618 0.91 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  10  29  2.6e-137  1.7e-133  444.5   7.8  1997  2272  2667  2979  2657  2988 0.91 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  11  29   3.1e-08    0.0002   16.1   0.0  2248  2302  3042  3096  3037  3100 0.91 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  12  29   6.4e-78   4.2e-74  247.4  25.0  2301  2554  3130  3476  3118  3479 0.78 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  13  29   2.9e-16   1.9e-12   42.7   3.8  2556  2647  3523  3659  3510  3672 0.70 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  14  29   5.8e-08   0.00038   15.1   0.3  2645  2674  3714  3743  3701  3750 0.88 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  15  29   2.2e-06     0.014    9.9   0.2  2671  2703  3781  3818  3778  3824 0.90 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
