#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1326500.1-p1   -            520 6148at5820           -            431  1.7e-263  872.5  48.6   1   2  1.2e-231  6.1e-229  758.7  37.5     1   344     1   344     1   355 0.99 | transcript=PVP01_1326500.1 | gene=PVP01_1326500 | organism=Plasmodium_vivax_P01 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=PvP01_13_v2:1148914-1151234(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326500.1-p1   -            520 6148at5820           -            431  1.7e-263  872.5  48.6   2   2   9.5e-38   4.8e-35  119.8   3.2   348   431   423   518   415   518 0.90 | transcript=PVP01_1326500.1 | gene=PVP01_1326500 | organism=Plasmodium_vivax_P01 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=PvP01_13_v2:1148914-1151234(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804000.1-p1   -           1169 6148at5820           -            431   7.7e-08   30.1   0.9   1   1   2.2e-10   1.1e-07   29.6   0.9   284   351   347   420   308   433 0.83 | transcript=PVP01_0804000.1 | gene=PVP01_0804000 | organism=Plasmodium_vivax_P01 | gene_product=RING finger E3 ubiquitin-protein ligase, putative | transcript_product=RING finger E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:197452-200961(-) | protein_length=1169 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807000.1-p1   -            609 6148at5820           -            431   3.7e-07   27.9   4.1   1   1   2.7e-09   1.4e-06   26.0   4.1   294   340   559   607   541   609 0.80 | transcript=PVP01_0807000.1 | gene=PVP01_0807000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_08_v2:302200-304231(+) | protein_length=609 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004000.1-p1   -            284 6148at5820           -            431     2e-06   25.4   1.2   1   2       2.5   1.3e+03   -3.6   3.8    34   193   159   186   122   202 0.61 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004000.1-p1   -            284 6148at5820           -            431     2e-06   25.4   1.2   2   2     4e-09     2e-06   25.4   1.2   296   340   234   280   220   284 0.81 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613300.1-p1   -            272 6148at5820           -            431   2.7e-06   25.0   2.5   1   3       2.4   1.2e+03   -3.5   0.5   151   187    17    55     8    61 0.59 | transcript=PVP01_0613300.1 | gene=PVP01_0613300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_06_v2:571562-572380(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613300.1-p1   -            272 6148at5820           -            431   2.7e-06   25.0   2.5   2   3       1.2   5.8e+02   -2.4   5.5    18    82    93   163    85   182 0.61 | transcript=PVP01_0613300.1 | gene=PVP01_0613300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_06_v2:571562-572380(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613300.1-p1   -            272 6148at5820           -            431   2.7e-06   25.0   2.5   3   3   5.3e-09   2.7e-06   25.0   2.5   291   340   211   263   190   269 0.83 | transcript=PVP01_0613300.1 | gene=PVP01_0613300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_06_v2:571562-572380(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141800.1-p1   -            401 6148at5820           -            431   3.6e-06   24.6   1.3   1   2       1.3   6.4e+02   -2.6   3.0   133   233    13   116    11   136 0.53 | transcript=PVP01_1141800.1 | gene=PVP01_1141800 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_11_v2:1772224-1773631(+) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141800.1-p1   -            401 6148at5820           -            431   3.6e-06   24.6   1.3   2   2   7.2e-09   3.6e-06   24.6   1.3   297   342   343   392   329   397 0.72 | transcript=PVP01_1141800.1 | gene=PVP01_1141800 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_11_v2:1772224-1773631(+) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
