#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1325200.1-p1   -           1453 1767at5820           -            979         0 1339.0  74.0   1   9   8.8e-17   5.8e-13   46.4   0.0     1    45     1    45     1    47 0.97 | transcript=PVP01_1325200.1 | gene=PVP01_1325200 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=PvP01_13_v2:1087753-1092387(-) | protein_length=1453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325200.1-p1   -           1453 1767at5820           -            979         0 1339.0  74.0   2   9  1.3e-108  8.5e-105  350.3  14.8    45   277    90   337    86   340 0.93 | transcript=PVP01_1325200.1 | gene=PVP01_1325200 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=PvP01_13_v2:1087753-1092387(-) | protein_length=1453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325200.1-p1   -           1453 1767at5820           -            979         0 1339.0  74.0   3   9   2.1e-49   1.4e-45  154.3   1.0   276   375   440   539   436   546 0.97 | transcript=PVP01_1325200.1 | gene=PVP01_1325200 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=PvP01_13_v2:1087753-1092387(-) | protein_length=1453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325200.1-p1   -           1453 1767at5820           -            979         0 1339.0  74.0   4   9   1.2e-07   0.00075   16.2   0.0   374   401   576   603   573   606 0.92 | transcript=PVP01_1325200.1 | gene=PVP01_1325200 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=PvP01_13_v2:1087753-1092387(-) | protein_length=1453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325200.1-p1   -           1453 1767at5820           -            979         0 1339.0  74.0   5   9   8.3e-11   5.4e-07   26.6   0.5   397   428   635   666   629   672 0.90 | transcript=PVP01_1325200.1 | gene=PVP01_1325200 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=PvP01_13_v2:1087753-1092387(-) | protein_length=1453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325200.1-p1   -           1453 1767at5820           -            979         0 1339.0  74.0   6   9   3.9e-32   2.6e-28   97.2   0.1   429   498   710   785   702   798 0.92 | transcript=PVP01_1325200.1 | gene=PVP01_1325200 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=PvP01_13_v2:1087753-1092387(-) | protein_length=1453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325200.1-p1   -           1453 1767at5820           -            979         0 1339.0  74.0   7   9  1.2e-109  8.1e-106  353.7  12.8   498   739   811  1058   808  1068 0.96 | transcript=PVP01_1325200.1 | gene=PVP01_1325200 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=PvP01_13_v2:1087753-1092387(-) | protein_length=1453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325200.1-p1   -           1453 1767at5820           -            979         0 1339.0  74.0   8   9   1.6e-16   1.1e-12   45.5   0.3   720   810  1070  1177  1061  1188 0.75 | transcript=PVP01_1325200.1 | gene=PVP01_1325200 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=PvP01_13_v2:1087753-1092387(-) | protein_length=1453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325200.1-p1   -           1453 1767at5820           -            979         0 1339.0  74.0   9   9   2.9e-85   1.9e-81  273.0   6.6   802   979  1269  1449  1256  1449 0.95 | transcript=PVP01_1325200.1 | gene=PVP01_1325200 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=PvP01_13_v2:1087753-1092387(-) | protein_length=1453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1767at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1767at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1767at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:34 2026
# [ok]
