#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1020500.1-p1   -            288 9899at5820           -            239  1.1e-139  462.2   2.9   1   1  1.6e-141  1.7e-138  458.3   2.9     1   239    26   283    26   283 0.96 | transcript=PVP01_1020500.1 | gene=PVP01_1020500 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=PvP01_10_v2:886857-889055(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264800.1-p1   -           1007 9899at5820           -            239   1.1e-25   89.0   0.3   1   1   2.2e-28   2.4e-25   87.9   0.3    54   191   151   290   134   328 0.88 | transcript=PVP01_1264800.1 | gene=PVP01_1264800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein YihA2, putative | transcript_product=GTP-binding protein YihA2, putative | location=PvP01_12_v2:2698363-2701386(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428100.1-p1   -            289 9899at5820           -            239   5.8e-12   44.1   9.4   1   1   7.3e-15   7.9e-12   43.6   9.4     5   191    56   255    53   283 0.73 | transcript=PVP01_1428100.1 | gene=PVP01_1428100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein YihA3, putative | transcript_product=GTP-binding protein YihA3, putative | location=PvP01_14_v2:1197274-1199033(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 9899at5820           -            239   1.6e-05   23.0   0.0   1   4       1.1   1.2e+03   -2.8   0.5   161   197    24    62    19    79 0.72 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 9899at5820           -            239   1.6e-05   23.0   0.0   2   4       2.3   2.6e+03   -3.9   0.0    18    33   112   127   104   130 0.85 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 9899at5820           -            239   1.6e-05   23.0   0.0   3   4       2.5   2.8e+03   -4.0   0.1    11    27   393   409   389   419 0.62 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 9899at5820           -            239   1.6e-05   23.0   0.0   4   4   1.5e-08   1.6e-05   23.0   0.0    55   145   536   631   510   642 0.75 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 9899at5820           -            239   0.00063   17.8   0.2   1   2     0.071        78    1.1   0.2    30    85   259   316   249   323 0.77 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 9899at5820           -            239   0.00063   17.8   0.2   2   2     8e-06    0.0087   14.0   0.0    58   111   323   375   317   390 0.86 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136200.1-p1   -            818 9899at5820           -            239     0.038   12.0   1.5   1   2    0.0049       5.3    4.9   0.2   169   209    21    61     5    75 0.86 | transcript=PVP01_1136200.1 | gene=PVP01_1136200 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=PvP01_11_v2:1549548-1552004(-) | protein_length=818 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136200.1-p1   -            818 9899at5820           -            239     0.038   12.0   1.5   2   2    0.0027         3    5.7   0.1    58   111   173   227   151   323 0.79 | transcript=PVP01_1136200.1 | gene=PVP01_1136200 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=PvP01_11_v2:1549548-1552004(-) | protein_length=818 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9899at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9899at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9899at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:08 2026
# [ok]
