#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0701800.1-p1   -           2446 289at5820            -           1989         0 3772.3 193.9   1   3  6.4e-219  1.4e-215  717.3  56.7     1   452     1   572     1   583 0.92 | transcript=PVP01_0701800.1 | gene=PVP01_0701800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX60, putative | transcript_product=ATP-dependent RNA helicase DDX60, putative | location=PvP01_07_v2:110191-117716(-) | protein_length=2446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701800.1-p1   -           2446 289at5820            -           1989         0 3772.3 193.9   2   3  1.3e-173  2.8e-170  567.0  36.4   452   792   633  1037   629  1054 0.94 | transcript=PVP01_0701800.1 | gene=PVP01_0701800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX60, putative | transcript_product=ATP-dependent RNA helicase DDX60, putative | location=PvP01_07_v2:110191-117716(-) | protein_length=2446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701800.1-p1   -           2446 289at5820            -           1989         0 3772.3 193.9   3   3         0         0 2500.2  84.8   789  1989  1116  2440  1091  2440 0.98 | transcript=PVP01_0701800.1 | gene=PVP01_0701800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX60, putative | transcript_product=ATP-dependent RNA helicase DDX60, putative | location=PvP01_07_v2:110191-117716(-) | protein_length=2446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 289at5820            -           1989   1.5e-19   67.2  11.8   1   3   9.7e-14   2.1e-10   36.9   0.2   846  1032   251   414   212   436 0.85 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 289at5820            -           1989   1.5e-19   67.2  11.8   2   3   6.3e-14   1.4e-10   37.5   0.1  1396  1481   567   659   538   698 0.82 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 289at5820            -           1989   1.5e-19   67.2  11.8   3   3      0.17   3.8e+02   -3.8   2.4  1942  1971  1059  1089  1005  1134 0.60 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 289at5820            -           1989   5.8e-16   55.3  14.7   1   4   2.9e-09   6.2e-06   22.1   6.2   848  1031   318   478   306   531 0.81 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 289at5820            -           1989   5.8e-16   55.3  14.7   2   4    0.0031       6.7    2.1   0.3  1236  1268   612   644   591   671 0.81 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 289at5820            -           1989   5.8e-16   55.3  14.7   3   4   4.3e-17   9.3e-14   48.0   1.3  1392  1483   684   782   660   827 0.80 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 289at5820            -           1989   5.8e-16   55.3  14.7   4   4      0.66   1.4e+03   -5.7   3.2  1575  1683  1141  1247  1136  1262 0.63 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
