#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0725500.1-p1   -            156 13418at5820          -            141   7.5e-81  267.8   0.6   1   1   5.3e-84   8.6e-81  267.6   0.6     1   141     7   156     7   156 0.95 | transcript=PVP01_0725500.1 | gene=PVP01_0725500 | organism=Plasmodium_vivax_P01 | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=PvP01_07_v2:1099023-1099716(+) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217900.1-p1   -            378 13418at5820          -            141   3.8e-07   28.9   5.4   1   3      0.68   1.1e+03   -1.8   0.2    83   106    66    87    41    95 0.75 | transcript=PVP01_1217900.1 | gene=PVP01_1217900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=PvP01_12_v2:745244-746380(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217900.1-p1   -            378 13418at5820          -            141   3.8e-07   28.9   5.4   2   3   2.4e-10   3.8e-07   28.9   5.4    11    95   208   298   200   313 0.84 | transcript=PVP01_1217900.1 | gene=PVP01_1217900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=PvP01_12_v2:745244-746380(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217900.1-p1   -            378 13418at5820          -            141   3.8e-07   28.9   5.4   3   3   0.00071       1.2    7.9   0.5    92   127   330   366   317   377 0.81 | transcript=PVP01_1217900.1 | gene=PVP01_1217900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=PvP01_12_v2:745244-746380(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718600.1-p1   -            965 13418at5820          -            141   2.7e-05   22.9   0.1   1   2   1.3e-07   0.00021   20.0   0.1    10    85    92   172    83   216 0.82 | transcript=PVP01_0718600.1 | gene=PVP01_0718600 | organism=Plasmodium_vivax_P01 | gene_product=CS domain protein, putative | transcript_product=CS domain protein, putative | location=PvP01_07_v2:821180-824077(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718600.1-p1   -            965 13418at5820          -            141   2.7e-05   22.9   0.1   2   2      0.85   1.4e+03   -2.1   0.0    91   123   337   366   293   371 0.75 | transcript=PVP01_0718600.1 | gene=PVP01_0718600 | organism=Plasmodium_vivax_P01 | gene_product=CS domain protein, putative | transcript_product=CS domain protein, putative | location=PvP01_07_v2:821180-824077(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1258300.1-p1   -            321 13418at5820          -            141     0.011   14.4   1.2   1   3     0.046        75    2.0   0.0    83   122    49    88    43   102 0.78 | transcript=PVP01_1258300.1 | gene=PVP01_1258300 | organism=Plasmodium_vivax_P01 | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=PvP01_12_v2:2399542-2400507(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1258300.1-p1   -            321 13418at5820          -            141     0.011   14.4   1.2   2   3   0.00012       0.2   10.4   0.0    11    28   125   142   113   179 0.74 | transcript=PVP01_1258300.1 | gene=PVP01_1258300 | organism=Plasmodium_vivax_P01 | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=PvP01_12_v2:2399542-2400507(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1258300.1-p1   -            321 13418at5820          -            141     0.011   14.4   1.2   3   3      0.87   1.4e+03   -2.1   0.1   114   125   229   240   198   258 0.62 | transcript=PVP01_1258300.1 | gene=PVP01_1258300 | organism=Plasmodium_vivax_P01 | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=PvP01_12_v2:2399542-2400507(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13418at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13418at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13418at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:12 2026
# [ok]
