#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1315200.1-p1   -            559 5426at5820           -            491  1.9e-297  985.2  61.6   1   2   3.1e-90   2.9e-87  292.0  16.5     1   194     1   221     1   228 0.89 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 5426at5820           -            491  1.9e-297  985.2  61.6   2   2  1.3e-213  1.2e-210  698.9  37.9   166   491   227   559   224   559 0.99 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411400.1-p1   -            477 5426at5820           -            491   1.2e-13   49.2   7.5   1   2   1.4e-12   1.3e-09   35.8   2.6   303   388     9    94     2   109 0.92 | transcript=PVP01_0411400.1 | gene=PVP01_0411400 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_04_v2:468113-470149(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411400.1-p1   -            477 5426at5820           -            491   1.2e-13   49.2   7.5   2   2   1.7e-06    0.0016   15.8   0.2   180   239   304   367   284   383 0.76 | transcript=PVP01_0411400.1 | gene=PVP01_0411400 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_04_v2:468113-470149(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1459000.1-p1   -            571 5426at5820           -            491   3.3e-12   44.4  11.5   1   1   6.1e-15   5.7e-12   43.6  11.5   288   411   382   508   352   534 0.84 | transcript=PVP01_1459000.1 | gene=PVP01_1459000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_14_v2:2579586-2581301(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 5426at5820           -            491   3.9e-09   34.3   4.4   1   2    0.0017       1.6    5.9   0.2   306   332   159   185   140   193 0.79 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 5426at5820           -            491   3.9e-09   34.3   4.4   2   2     1e-10   9.5e-08   29.7   0.7   335   407   244   317   216   344 0.80 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828000.1-p1   -           1123 5426at5820           -            491   1.5e-06   25.8   3.8   1   2   2.5e-08   2.3e-05   21.8   4.4   172   245   242   318   228   327 0.85 | transcript=PVP01_0828000.1 | gene=PVP01_0828000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_08_v2:1212096-1215467(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828000.1-p1   -           1123 5426at5820           -            491   1.5e-06   25.8   3.8   2   2      0.11        99   -0.1   0.0   177   207   326   356   318   364 0.87 | transcript=PVP01_0828000.1 | gene=PVP01_0828000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_08_v2:1212096-1215467(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006300.1-p1   -            467 5426at5820           -            491   3.3e-05   21.3  24.0   1   2   0.00075       0.7    7.0  18.6   174   338   118   283   109   293 0.57 | transcript=PVP01_1006300.1 | gene=PVP01_1006300 | organism=Plasmodium_vivax_P01 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=PvP01_10_v2:279693-281543(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006300.1-p1   -            467 5426at5820           -            491   3.3e-05   21.3  24.0   2   2     8e-07   0.00075   16.8   0.2   438   477   406   448   403   455 0.86 | transcript=PVP01_1006300.1 | gene=PVP01_1006300 | organism=Plasmodium_vivax_P01 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=PvP01_10_v2:279693-281543(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464500.1-p1   -            302 5426at5820           -            491   0.00012   19.5  10.1   1   1   8.7e-07   0.00081   16.7   7.8   306   429   144   282   140   292 0.77 | transcript=PVP01_1464500.1 | gene=PVP01_1464500 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | transcript_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | location=PvP01_14_v2:2761587-2762495(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5426at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5426at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5426at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:45 2026
# [ok]
