#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1438000.1-p1   -           1514 1005at5820           -           1159         0 2226.0 100.8   1   6   4.9e-67   5.3e-64  215.0   7.5     4   115    20   131    17   155 0.90 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 1005at5820           -           1159         0 2226.0 100.8   2   6   2.6e-65   2.9e-62  209.3   3.9    99   236   158   304   147   311 0.91 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 1005at5820           -           1159         0 2226.0 100.8   3   6     1e-94   1.1e-91  306.7   8.0   232   394   348   519   322   536 0.91 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 1005at5820           -           1159         0 2226.0 100.8   4   6  2.3e-124  2.5e-121  404.9   2.6   389   594   592   805   582   810 0.95 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 1005at5820           -           1159         0 2226.0 100.8   5   6    3e-112  3.3e-109  364.7   9.3   592   781   886  1077   882  1083 0.97 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 1005at5820           -           1159         0 2226.0 100.8   6   6  5.3e-228  5.7e-225  748.1  30.7   775  1159  1104  1514  1092  1514 0.93 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 1005at5820           -           1159  9.3e-115  383.1  57.3   1   7   4.1e-33   4.5e-30  102.7   3.1     6   221    53   252    48   266 0.88 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 1005at5820           -           1159  9.3e-115  383.1  57.3   2   7   7.8e-16   8.5e-13   45.4   4.4   241   376   342   481   324   487 0.77 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 1005at5820           -           1159  9.3e-115  383.1  57.3   3   7   1.1e-09   1.2e-06   25.1   0.1   413   470   489   548   487   549 0.84 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 1005at5820           -           1159  9.3e-115  383.1  57.3   4   7      0.03        33    0.4   0.0   526   553   789   816   771   829 0.80 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 1005at5820           -           1159  9.3e-115  383.1  57.3   5   7     3e-34   3.3e-31  106.4   2.4   591   774   962  1149   930  1164 0.82 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 1005at5820           -           1159  9.3e-115  383.1  57.3   6   7   4.3e-42   4.7e-39  132.4   1.1   786  1004  1245  1471  1229  1487 0.82 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 1005at5820           -           1159  9.3e-115  383.1  57.3   7   7         6   6.5e+03   -8.9  14.0   918  1126  1443  1658  1438  1683 0.60 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1005at5820           -           1159  1.6e-108  362.4  95.9   1   6   1.7e-39   1.8e-36  123.8  21.7    18   376    87   425    69   470 0.79 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1005at5820           -           1159  1.6e-108  362.4  95.9   2   6   1.4e-09   1.5e-06   24.7   0.1   411   461   680   730   648   745 0.79 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1005at5820           -           1159  1.6e-108  362.4  95.9   3   6   1.9e-08   2.1e-05   21.0   0.1   524   617  1407  1494  1398  1499 0.89 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
