#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0930000.1-p1   -           1724 1332at5820           -            802         0 1242.0  40.2   1   9    0.0087        57    0.1   0.0     2    24   329   352   328   355 0.88 | transcript=PVP01_0930000.1 | gene=PVP01_0930000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1303917-1309091(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930000.1-p1   -           1724 1332at5820           -            802         0 1242.0  40.2   2   9   4.1e-89   2.7e-85  285.6   0.1    18   207   407   603   403   606 0.94 | transcript=PVP01_0930000.1 | gene=PVP01_0930000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1303917-1309091(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930000.1-p1   -           1724 1332at5820           -            802         0 1242.0  40.2   3   9    0.0076        49    0.3   0.0   200   220   623   643   615   656 0.79 | transcript=PVP01_0930000.1 | gene=PVP01_0930000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1303917-1309091(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930000.1-p1   -           1724 1332at5820           -            802         0 1242.0  40.2   4   9   2.3e-18   1.5e-14   51.6   3.5   221   256   778   813   770   820 0.92 | transcript=PVP01_0930000.1 | gene=PVP01_0930000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1303917-1309091(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930000.1-p1   -           1724 1332at5820           -            802         0 1242.0  40.2   5   9   2.2e-51   1.4e-47  160.8   0.5   257   360   866   971   864   980 0.92 | transcript=PVP01_0930000.1 | gene=PVP01_0930000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1303917-1309091(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930000.1-p1   -           1724 1332at5820           -            802         0 1242.0  40.2   6   9   1.6e-19   1.1e-15   55.4   0.1   360   413  1073  1129  1059  1134 0.89 | transcript=PVP01_0930000.1 | gene=PVP01_0930000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1303917-1309091(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930000.1-p1   -           1724 1332at5820           -            802         0 1242.0  40.2   7   9   2.2e-57   1.5e-53  180.7   0.0   413   522  1172  1288  1164  1299 0.88 | transcript=PVP01_0930000.1 | gene=PVP01_0930000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1303917-1309091(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930000.1-p1   -           1724 1332at5820           -            802         0 1242.0  40.2   8   9   1.4e-42   9.1e-39  131.7   0.0   516   603  1319  1409  1313  1418 0.92 | transcript=PVP01_0930000.1 | gene=PVP01_0930000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1303917-1309091(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930000.1-p1   -           1724 1332at5820           -            802         0 1242.0  40.2   9   9  1.6e-119    1e-115  386.2  10.9   602   801  1523  1723  1473  1724 0.93 | transcript=PVP01_0930000.1 | gene=PVP01_0930000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1303917-1309091(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1332at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1332at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1332at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:35 2026
# [ok]
