#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0310000.1-p1   -            788 3749at5820           -            537  1.2e-295  979.8  28.3   1   3   1.5e-54   1.9e-51  173.9   6.2     1   104   115   219   115   241 0.95 | transcript=PVP01_0310000.1 | gene=PVP01_0310000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=PvP01_03_v2:452864-455230(-) | protein_length=788 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310000.1-p1   -            788 3749at5820           -            537  1.2e-295  979.8  28.3   2   3   2.5e-07   0.00032   18.0   0.0   104   136   271   311   267   346 0.81 | transcript=PVP01_0310000.1 | gene=PVP01_0310000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=PvP01_03_v2:452864-455230(-) | protein_length=788 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310000.1-p1   -            788 3749at5820           -            537  1.2e-295  979.8  28.3   3   3  1.7e-241  2.3e-238  790.8  15.8   129   537   359   788   345   788 0.96 | transcript=PVP01_0310000.1 | gene=PVP01_0310000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=PvP01_03_v2:452864-455230(-) | protein_length=788 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 3749at5820           -            537   1.5e-08   32.3   0.2   1   1   2.4e-11   3.2e-08   31.3   0.2   280   418   498   638   488   654 0.71 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313000.1-p1   -            417 3749at5820           -            537   2.7e-06   24.9  12.4   1   2     3e-08   3.9e-05   21.1   2.1   176   270    87   186    79   193 0.81 | transcript=PVP01_1313000.1 | gene=PVP01_1313000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_13_v2:585179-586432(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313000.1-p1   -            417 3749at5820           -            537   2.7e-06   24.9  12.4   2   2     0.001       1.4    6.1   2.8   318   339   205   226   194   359 0.83 | transcript=PVP01_1313000.1 | gene=PVP01_1313000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_13_v2:585179-586432(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1009500.1-p1   -            365 3749at5820           -            537   0.00021   18.7   0.1   1   1   3.8e-07    0.0005   17.4   0.0   318   370    66   121    18   133 0.83 | transcript=PVP01_1009500.1 | gene=PVP01_1009500 | organism=Plasmodium_vivax_P01 | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=PvP01_10_v2:422852-423949(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020500.1-p1   -            288 3749at5820           -            537    0.0023   15.2   0.7   1   2   7.9e-06      0.01   13.1   0.1   317   389    86   160    51   173 0.72 | transcript=PVP01_1020500.1 | gene=PVP01_1020500 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=PvP01_10_v2:886857-889055(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020500.1-p1   -            288 3749at5820           -            537    0.0023   15.2   0.7   2   2     0.057        75    0.3   0.1   173   198   205   230   196   238 0.86 | transcript=PVP01_1020500.1 | gene=PVP01_1020500 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=PvP01_10_v2:886857-889055(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3749at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3749at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3749at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:29 2026
# [ok]
