#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1270600.1-p1   -            506 5913at5820           -            427  1.9e-254  842.6  27.2   1   2    1e-256  1.1e-253  840.1  24.2     1   412     1   462     1   470 0.95 | transcript=PVP01_1270600.1 | gene=PVP01_1270600 | organism=Plasmodium_vivax_P01 | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=PvP01_12_v2:2982189-2983709(+) | protein_length=506 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270600.1-p1   -            506 5913at5820           -            427  1.9e-254  842.6  27.2   2   2    0.0089       9.7    3.4   0.0   416   427   495   506   481   506 0.86 | transcript=PVP01_1270600.1 | gene=PVP01_1270600 | organism=Plasmodium_vivax_P01 | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=PvP01_12_v2:2982189-2983709(+) | protein_length=506 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808400.1-p1   -            445 5913at5820           -            427   3.9e-58  195.8   0.0   1   1   6.4e-61     7e-58  195.0   0.0     2   390     1   426     1   432 0.82 | transcript=PVP01_0808400.1 | gene=PVP01_0808400 | organism=Plasmodium_vivax_P01 | gene_product=tubulin beta chain, putative | transcript_product=tubulin beta chain, putative | location=PvP01_08_v2:376354-378565(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116500.1-p1   -            452 5913at5820           -            427     4e-51  172.7  11.6   1   1   5.7e-53   6.2e-50  168.8  11.6     1   399     1   451     1   452 0.81 | transcript=PVP01_0116500.1 | gene=PVP01_0116500 | organism=Plasmodium_vivax_P01 | gene_product=tubulin gamma chain, putative | transcript_product=tubulin gamma chain, putative | location=PvP01_01_v2:745540-746898(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702100.1-p1   -            453 5913at5820           -            427   7.2e-50  168.6   0.0   1   1   1.1e-52   1.2e-49  167.8   0.0     2   386     1   432     1   440 0.80 | transcript=PVP01_0702100.1 | gene=PVP01_0702100 | organism=Plasmodium_vivax_P01 | gene_product=alpha tubulin 1, putative | transcript_product=alpha tubulin 1, putative | location=PvP01_07_v2:135347-137437(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530800.1-p1   -            450 5913at5820           -            427     3e-47  159.9   0.0   1   1   4.6e-50     5e-47  159.2   0.0     2   386     1   432     1   440 0.79 | transcript=PVP01_0530800.1 | gene=PVP01_0530800 | organism=Plasmodium_vivax_P01 | gene_product=alpha tubulin 2, putative | transcript_product=alpha tubulin 2, putative | location=PvP01_05_v2:1309600-1311349(+) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732500.1-p1   -            671 5913at5820           -            427   1.2e-11   42.7  14.7   1   3   1.8e-05      0.02   12.3   0.1     5    35     3    32     1    55 0.72 | transcript=PVP01_0732500.1 | gene=PVP01_0732500 | organism=Plasmodium_vivax_P01 | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=PvP01_07_v2:1351862-1353877(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732500.1-p1   -            671 5913at5820           -            427   1.2e-11   42.7  14.7   2   3   1.9e-11   2.1e-08   32.0   8.4    75   269   213   436   169   441 0.69 | transcript=PVP01_0732500.1 | gene=PVP01_0732500 | organism=Plasmodium_vivax_P01 | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=PvP01_07_v2:1351862-1353877(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732500.1-p1   -            671 5913at5820           -            427   1.2e-11   42.7  14.7   3   3      0.15   1.7e+02   -0.7   0.0   328   367   604   644   594   664 0.69 | transcript=PVP01_0732500.1 | gene=PVP01_0732500 | organism=Plasmodium_vivax_P01 | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=PvP01_07_v2:1351862-1353877(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5913at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5913at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5913at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:05 2026
# [ok]
