#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1231100.1-p1   -            540 6119at5820           -            430  3.6e-250  828.5  23.3   1   2  4.9e-118    4e-115  383.6   6.4     1   189    47   239    47   252 0.97 | transcript=PVP01_1231100.1 | gene=PVP01_1231100 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin V | transcript_product=plasmepsin V | location=PvP01_12_v2:1242916-1244538(-) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1231100.1-p1   -            540 6119at5820           -            430  3.6e-250  828.5  23.3   2   2  1.7e-138  1.4e-135  451.0   8.8   190   427   277   525   261   529 0.95 | transcript=PVP01_1231100.1 | gene=PVP01_1231100 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin V | transcript_product=plasmepsin V | location=PvP01_12_v2:1242916-1244538(-) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452500.1-p1   -            552 6119at5820           -            430   1.2e-09   36.0   0.7   1   3   1.3e-08   1.1e-05   23.0   0.8    89   186   194   297   144   306 0.78 | transcript=PVP01_1452500.1 | gene=PVP01_1452500 | organism=Plasmodium_vivax_P01 | gene_product=microgamete surface protein MiGS, putative | transcript_product=microgamete surface protein MiGS, putative | location=PvP01_14_v2:2297330-2299674(-) | protein_length=552 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452500.1-p1   -            552 6119at5820           -            430   1.2e-09   36.0   0.7   2   3     0.098        80    0.4   0.0   193   267   334   419   327   432 0.67 | transcript=PVP01_1452500.1 | gene=PVP01_1452500 | organism=Plasmodium_vivax_P01 | gene_product=microgamete surface protein MiGS, putative | transcript_product=microgamete surface protein MiGS, putative | location=PvP01_14_v2:2297330-2299674(-) | protein_length=552 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452500.1-p1   -            552 6119at5820           -            430   1.2e-09   36.0   0.7   3   3    0.0002      0.16    9.2   0.0   304   378   423   495   389   541 0.68 | transcript=PVP01_1452500.1 | gene=PVP01_1452500 | organism=Plasmodium_vivax_P01 | gene_product=microgamete surface protein MiGS, putative | transcript_product=microgamete surface protein MiGS, putative | location=PvP01_14_v2:2297330-2299674(-) | protein_length=552 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241100.1-p1   -            373 6119at5820           -            430     3e-09   34.7   0.9   1   2   7.9e-11   6.5e-08   30.3   0.1    19   216    53   240    44   246 0.81 | transcript=PVP01_1241100.1 | gene=PVP01_1241100 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin VIII, putative | transcript_product=plasmepsin VIII, putative | location=PvP01_12_v2:1676367-1679131(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241100.1-p1   -            373 6119at5820           -            430     3e-09   34.7   0.9   2   2       1.1   9.1e+02   -3.1   0.1   346   369   347   370   333   372 0.84 | transcript=PVP01_1241100.1 | gene=PVP01_1241100 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin VIII, putative | transcript_product=plasmepsin VIII, putative | location=PvP01_12_v2:1676367-1679131(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828500.1-p1   -            438 6119at5820           -            430   1.1e-07   29.5   0.1   1   1   6.3e-10   5.1e-07   27.4   0.1    16    77   106   168    96   344 0.82 | transcript=PVP01_0828500.1 | gene=PVP01_0828500 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin VI, putative | transcript_product=plasmepsin VI, putative | location=PvP01_08_v2:1226330-1229494(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340900.1-p1   -            450 6119at5820           -            430   1.6e-07   29.0   4.2   1   3       1.3     1e+03   -3.3   1.0   242   272    53    83    25   114 0.58 | transcript=PVP01_1340900.1 | gene=PVP01_1340900 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=PvP01_13_v2:1801248-1802600(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340900.1-p1   -            450 6119at5820           -            430   1.6e-07   29.0   4.2   2   3     2e-10   1.6e-07   29.0   4.2    18   246   141   359   129   368 0.75 | transcript=PVP01_1340900.1 | gene=PVP01_1340900 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=PvP01_13_v2:1801248-1802600(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340900.1-p1   -            450 6119at5820           -            430   1.6e-07   29.0   4.2   3   3      0.51   4.1e+02   -2.0   0.0   343   369   420   446   413   449 0.88 | transcript=PVP01_1340900.1 | gene=PVP01_1340900 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=PvP01_13_v2:1801248-1802600(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
