#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0931900.1-p1   -            759 8314at5820           -            476  1.6e-200  665.6  71.5   1   6     1e-15   3.4e-12   44.6   1.8     1    31     1    31     1    36 0.96 | transcript=PVP01_0931900.1 | gene=PVP01_0931900 | organism=Plasmodium_vivax_P01 | gene_product=serpentine receptor 1, putative | transcript_product=serpentine receptor 1, putative | location=PvP01_09_v2:1365243-1367522(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931900.1-p1   -            759 8314at5820           -            476  1.6e-200  665.6  71.5   2   6   3.8e-33   1.2e-29  102.1   6.1    29    94    48   115    40   118 0.95 | transcript=PVP01_0931900.1 | gene=PVP01_0931900 | organism=Plasmodium_vivax_P01 | gene_product=serpentine receptor 1, putative | transcript_product=serpentine receptor 1, putative | location=PvP01_09_v2:1365243-1367522(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931900.1-p1   -            759 8314at5820           -            476  1.6e-200  665.6  71.5   3   6     1e-28   3.4e-25   87.5   1.0    91   155   130   202   121   209 0.86 | transcript=PVP01_0931900.1 | gene=PVP01_0931900 | organism=Plasmodium_vivax_P01 | gene_product=serpentine receptor 1, putative | transcript_product=serpentine receptor 1, putative | location=PvP01_09_v2:1365243-1367522(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931900.1-p1   -            759 8314at5820           -            476  1.6e-200  665.6  71.5   4   6   1.5e-30     5e-27   93.5   1.2   127   212   290   375   283   383 0.94 | transcript=PVP01_0931900.1 | gene=PVP01_0931900 | organism=Plasmodium_vivax_P01 | gene_product=serpentine receptor 1, putative | transcript_product=serpentine receptor 1, putative | location=PvP01_09_v2:1365243-1367522(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931900.1-p1   -            759 8314at5820           -            476  1.6e-200  665.6  71.5   5   6   1.8e-52   5.9e-49  165.8  12.3   204   345   403   561   385   563 0.85 | transcript=PVP01_0931900.1 | gene=PVP01_0931900 | organism=Plasmodium_vivax_P01 | gene_product=serpentine receptor 1, putative | transcript_product=serpentine receptor 1, putative | location=PvP01_09_v2:1365243-1367522(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931900.1-p1   -            759 8314at5820           -            476  1.6e-200  665.6  71.5   6   6   3.1e-63     1e-59  201.3  11.4   345   469   610   734   605   738 0.97 | transcript=PVP01_0931900.1 | gene=PVP01_0931900 | organism=Plasmodium_vivax_P01 | gene_product=serpentine receptor 1, putative | transcript_product=serpentine receptor 1, putative | location=PvP01_09_v2:1365243-1367522(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938300.1-p1   -            650 8314at5820           -            476   1.2e-26   92.2  39.5   1   3     0.032     1e+02    0.1   2.7    37    93    75   125    68   163 0.72 | transcript=PVP01_0938300.1 | gene=PVP01_0938300 | organism=Plasmodium_vivax_P01 | gene_product=CLPTM1 domain-containing protein, putative | transcript_product=CLPTM1 domain-containing protein, putative | location=PvP01_09_v2:1648973-1650925(-) | protein_length=650 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938300.1-p1   -            650 8314at5820           -            476   1.2e-26   92.2  39.5   2   3     0.021        68    0.7   3.7   147   212   219   287   203   306 0.76 | transcript=PVP01_0938300.1 | gene=PVP01_0938300 | organism=Plasmodium_vivax_P01 | gene_product=CLPTM1 domain-containing protein, putative | transcript_product=CLPTM1 domain-containing protein, putative | location=PvP01_09_v2:1648973-1650925(-) | protein_length=650 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938300.1-p1   -            650 8314at5820           -            476   1.2e-26   92.2  39.5   3   3   3.7e-30   1.2e-26   92.2  39.5   205   472   326   628   292   632 0.70 | transcript=PVP01_0938300.1 | gene=PVP01_0938300 | organism=Plasmodium_vivax_P01 | gene_product=CLPTM1 domain-containing protein, putative | transcript_product=CLPTM1 domain-containing protein, putative | location=PvP01_09_v2:1648973-1650925(-) | protein_length=650 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8314at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8314at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8314at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:41 2026
# [ok]
