#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0944200.1-p1   -            985 4693at5820           -            548    2e-204  678.9  51.3   1   5     1e-24   9.7e-22   75.9   0.0     5    79     8   101     5   104 0.84 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 4693at5820           -            548    2e-204  678.9  51.3   2   5   6.1e-53   5.7e-50  169.1  12.1    98   227   219   367   175   374 0.84 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 4693at5820           -            548    2e-204  678.9  51.3   3   5   2.9e-45   2.7e-42  143.7   7.7   212   329   427   558   413   569 0.83 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 4693at5820           -            548    2e-204  678.9  51.3   4   5   8.8e-37   8.2e-34  115.8   1.6   326   425   673   780   665   783 0.90 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 4693at5820           -            548    2e-204  678.9  51.3   5   5   9.9e-60   9.2e-57  191.5   3.9   423   548   836   967   833   967 0.96 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4693at5820           -            548   4.6e-18   63.8   6.5   1   5   6.4e-05     0.059   10.6   0.0   164   195   233   264   214   274 0.84 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4693at5820           -            548   4.6e-18   63.8   6.5   2   5   7.7e-06    0.0072   13.6   0.3   117   194   316   399   308   409 0.79 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4693at5820           -            548   4.6e-18   63.8   6.5   3   5   1.5e-07   0.00014   19.3   0.1   120   198   629   714   622   721 0.80 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4693at5820           -            548   4.6e-18   63.8   6.5   4   5    0.0082       7.7    3.6   0.0   118   144   808   834   798   839 0.82 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4693at5820           -            548   4.6e-18   63.8   6.5   5   5   3.4e-06    0.0032   14.8   0.0   117   204   879   964   869   982 0.86 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 4693at5820           -            548   1.7e-17   61.9  21.0   1   3   1.3e-14   1.2e-11   42.6   8.4    51   200     4   159     2   232 0.81 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
