#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1413400.1-p1   -           1071 2273at5820           -            873         0 1677.8  31.9   1   2    5e-180  2.7e-177  590.2   0.0     1   330     7   393     7   400 0.98 | transcript=PVP01_1413400.1 | gene=PVP01_1413400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_14_v2:584350-587565(+) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413400.1-p1   -           1071 2273at5820           -            873         0 1677.8  31.9   2   2         0         0 1081.1  29.1   324   873   452  1071   440  1071 0.92 | transcript=PVP01_1413400.1 | gene=PVP01_1413400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_14_v2:584350-587565(+) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507300.1-p1   -           1170 2273at5820           -            873   4.5e-30  103.2   3.2   1   2   3.6e-28     2e-25   87.8   0.2   118   257   568   707   527   728 0.79 | transcript=PVP01_0507300.1 | gene=PVP01_0507300 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_05_v2:320142-323654(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507300.1-p1   -           1170 2273at5820           -            873   4.5e-30  103.2   3.2   2   2   2.4e-06    0.0013   15.6   0.3   333   459   742   871   716   880 0.81 | transcript=PVP01_0507300.1 | gene=PVP01_0507300 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_05_v2:320142-323654(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 2273at5820           -            873   4.3e-22   76.7   3.3   1   3     2e-24   1.1e-21   75.4   0.5   135   255   761   883   741   904 0.88 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 2273at5820           -            873   4.3e-22   76.7   3.3   2   3      0.33   1.8e+02   -1.4   0.0   376   402   983  1009   962  1066 0.72 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 2273at5820           -            873   4.3e-22   76.7   3.3   3   3      0.12        63    0.1   0.0   766   799  1188  1221  1177  1271 0.81 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 2273at5820           -            873   2.6e-16   57.6   1.6   1   3      0.35   1.9e+02   -1.5   3.3   525   590   204   273   202   353 0.65 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 2273at5820           -            873   2.6e-16   57.6   1.6   2   3     3e-17   1.7e-14   51.7   0.2   138   255   417   552   390   682 0.76 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 2273at5820           -            873   2.6e-16   57.6   1.6   3   3   5.3e-06    0.0029   14.5   0.1   778   851   790   866   779   870 0.91 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 2273at5820           -            873   9.7e-08   29.3   7.4   1   1   3.9e-10   2.1e-07   28.1   7.4    96   343    77   340    37   364 0.68 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
