#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1112000.1-p1   -           1957 579at5820            -           1498         0 2534.5  81.2   1   2         0         0 1297.7  29.8    54   809    59  1099     3  1132 0.84 | transcript=PVP01_1112000.1 | gene=PVP01_1112000 | organism=Plasmodium_vivax_P01 | gene_product=quinoxaline resistance protein QRP1, putative | transcript_product=quinoxaline resistance protein QRP1, putative | location=PvP01_11_v2:493861-499734(-) | protein_length=1957 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112000.1-p1   -           1957 579at5820            -           1498         0 2534.5  81.2   2   2         0         0 1240.5  43.7   758  1498  1148  1957  1127  1957 0.88 | transcript=PVP01_1112000.1 | gene=PVP01_1112000 | organism=Plasmodium_vivax_P01 | gene_product=quinoxaline resistance protein QRP1, putative | transcript_product=quinoxaline resistance protein QRP1, putative | location=PvP01_11_v2:493861-499734(-) | protein_length=1957 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0110300.1-p1   -           2270 579at5820            -           1498   1.3e-66  223.7  38.8   1   5   1.9e-22   1.8e-19   67.5   1.8   422   529   914  1020   908  1038 0.88 | transcript=PVP01_0110300.1 | gene=PVP01_0110300 | organism=Plasmodium_vivax_P01 | gene_product=hydrolase, putative | transcript_product=hydrolase, putative | location=PvP01_01_v2:482039-489390(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0110300.1-p1   -           2270 579at5820            -           1498   1.3e-66  223.7  38.8   2   5         7   6.5e+03   -7.3   3.6   631   906  1677  1697  1638  1755 0.47 | transcript=PVP01_0110300.1 | gene=PVP01_0110300 | organism=Plasmodium_vivax_P01 | gene_product=hydrolase, putative | transcript_product=hydrolase, putative | location=PvP01_01_v2:482039-489390(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0110300.1-p1   -           2270 579at5820            -           1498   1.3e-66  223.7  38.8   3   5   3.2e-19     3e-16   56.8   3.3  1023  1139  1860  1972  1838  1982 0.86 | transcript=PVP01_0110300.1 | gene=PVP01_0110300 | organism=Plasmodium_vivax_P01 | gene_product=hydrolase, putative | transcript_product=hydrolase, putative | location=PvP01_01_v2:482039-489390(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0110300.1-p1   -           2270 579at5820            -           1498   1.3e-66  223.7  38.8   4   5   7.7e-15   7.2e-12   42.3   0.2  1179  1246  1977  2044  1966  2053 0.86 | transcript=PVP01_0110300.1 | gene=PVP01_0110300 | organism=Plasmodium_vivax_P01 | gene_product=hydrolase, putative | transcript_product=hydrolase, putative | location=PvP01_01_v2:482039-489390(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0110300.1-p1   -           2270 579at5820            -           1498   1.3e-66  223.7  38.8   5   5   2.7e-27   2.5e-24   83.6   1.4  1415  1496  2184  2265  2117  2267 0.86 | transcript=PVP01_0110300.1 | gene=PVP01_0110300 | organism=Plasmodium_vivax_P01 | gene_product=hydrolase, putative | transcript_product=hydrolase, putative | location=PvP01_01_v2:482039-489390(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331200.1-p1   -            228 579at5820            -           1498      0.47    6.5  19.4   1   1   0.00059      0.55    6.2  19.4    32   157    48   179    10   194 0.54 | transcript=PVP01_1331200.1 | gene=PVP01_1331200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1308345-1309900(-) | protein_length=228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 579at5820            -           1498       0.6    6.1  22.5   1   1   0.00076       0.7    5.9  22.5    25   140    66   179    47   235 0.34 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620500.1-p1   -            435 579at5820            -           1498      0.96    5.4  16.4   1   1    0.0014       1.3    5.0  16.4   772   916   257   403   220   415 0.61 | transcript=PVP01_0620500.1 | gene=PVP01_0620500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:831839-833146(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512900.1-p1   -            130 579at5820            -           1498       1.3    5.0  12.8   1   1    0.0015       1.4    4.9  12.8    20   114    14   105     2   116 0.52 | transcript=PVP01_0512900.1 | gene=PVP01_0512900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:535863-536843(-) | protein_length=130 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529000.1-p1   -            278 579at5820            -           1498       1.4    4.9  32.4   1   1    0.0015       1.4    4.9  32.4    14   110   172   268    79   278 0.45 | transcript=PVP01_0529000.1 | gene=PVP01_0529000 | organism=Plasmodium_vivax_P01 | gene_product=ran-specific GTPase-activating protein 1, putative | transcript_product=ran-specific GTPase-activating protein 1, putative | location=PvP01_05_v2:1197705-1198913(+) | protein_length=278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/579at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/579at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/579at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:24 2026
# [ok]
