#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2   1  23   5.3e-26   1.2e-22   77.3  21.2    26   175   264   474   237   490 0.68 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2   2  23   1.9e-80   4.1e-77  257.9  11.1   171   361   622   811   615   830 0.89 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2   3  23  4.3e-118  9.3e-115  382.9  37.2   318   564   956  1221   940  1248 0.82 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2   4  23   2.1e-99   4.5e-96  320.9  37.3   566   772  1299  1510  1282  1534 0.85 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2   5  23  3.5e-240  7.7e-237  787.9  89.3   726  1099  1545  1922  1532  1936 0.92 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2   6  23   2.1e-40   4.5e-37  125.1   4.7  1092  1185  2116  2215  2108  2219 0.92 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2   7  23   2.6e-25   5.6e-22   75.0   0.8  1186  1245  2277  2336  2274  2359 0.87 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2   8  23   1.2e-66   2.5e-63  212.2  11.5  1255  1395  2422  2571  2419  2577 0.94 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2   9  23   2.7e-20   5.9e-17   58.3   5.0  1379  1467  2709  2812  2681  2835 0.71 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  10  23   4.6e-33     1e-29  100.7  13.5  1407  1624  2912  3154  2872  3215 0.74 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  11  23         3   6.5e+03  -12.8  11.6  1595  1682  3443  3532  3437  3546 0.61 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
