#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1139300.1-p1   -           1596 1726at5820           -            880         0 1174.8 126.6   1   9   0.00024       1.6    5.4   4.3     1    20     2    21     2    28 0.88 | transcript=PVP01_1139300.1 | gene=PVP01_1139300 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=PvP01_11_v2:1660730-1665762(-) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139300.1-p1   -           1596 1726at5820           -            880         0 1174.8 126.6   2   9   1.3e-57   8.5e-54  181.6   0.5    13   160    48   211    42   217 0.85 | transcript=PVP01_1139300.1 | gene=PVP01_1139300 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=PvP01_11_v2:1660730-1665762(-) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139300.1-p1   -           1596 1726at5820           -            880         0 1174.8 126.6   3   9   1.3e-48   8.6e-45  151.8   6.5   123   239   224   342   214   349 0.88 | transcript=PVP01_1139300.1 | gene=PVP01_1139300 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=PvP01_11_v2:1660730-1665762(-) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139300.1-p1   -           1596 1726at5820           -            880         0 1174.8 126.6   4   9   5.1e-11   3.3e-07   27.4   0.1   240   268   389   417   385   420 0.94 | transcript=PVP01_1139300.1 | gene=PVP01_1139300 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=PvP01_11_v2:1660730-1665762(-) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139300.1-p1   -           1596 1726at5820           -            880         0 1174.8 126.6   5   9   5.9e-13   3.8e-09   33.9   0.4   268   318   448   507   439   513 0.79 | transcript=PVP01_1139300.1 | gene=PVP01_1139300 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=PvP01_11_v2:1660730-1665762(-) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139300.1-p1   -           1596 1726at5820           -            880         0 1174.8 126.6   6   9   4.8e-32   3.2e-28   97.0  11.8   323   433   675   801   657   811 0.86 | transcript=PVP01_1139300.1 | gene=PVP01_1139300 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=PvP01_11_v2:1660730-1665762(-) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139300.1-p1   -           1596 1726at5820           -            880         0 1174.8 126.6   7   9   4.7e-55   3.1e-51  173.1   4.0   441   559   999  1126   988  1129 0.92 | transcript=PVP01_1139300.1 | gene=PVP01_1139300 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=PvP01_11_v2:1660730-1665762(-) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139300.1-p1   -           1596 1726at5820           -            880         0 1174.8 126.6   8   9   6.2e-97     4e-93  311.7  15.2   557   734  1154  1340  1145  1352 0.92 | transcript=PVP01_1139300.1 | gene=PVP01_1139300 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=PvP01_11_v2:1660730-1665762(-) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139300.1-p1   -           1596 1726at5820           -            880         0 1174.8 126.6   9   9   3.4e-73   2.2e-69  233.2  28.2   743   880  1443  1596  1428  1596 0.89 | transcript=PVP01_1139300.1 | gene=PVP01_1139300 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=PvP01_11_v2:1660730-1665762(-) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1726at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1726at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1726at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:24 2026
# [ok]
