#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0525700.1-p1   -           1314 1613at5820           -            801         0 1483.4  97.0   1   6   5.6e-73   4.5e-70  235.7  18.5     1   142     1   152     1   161 0.92 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1613at5820           -            801         0 1483.4  97.0   2   6   3.8e-88   3.1e-85  285.9  14.2   135   285   254   404   246   427 0.96 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1613at5820           -            801         0 1483.4  97.0   3   6   2.3e-67   1.9e-64  217.1   3.0   280   395   494   610   473   612 0.96 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1613at5820           -            801         0 1483.4  97.0   4   6   1.7e-43   1.4e-40  138.2   3.6   392   469   700   777   688   784 0.92 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1613at5820           -            801         0 1483.4  97.0   5   6  8.4e-121  6.8e-118  393.9  11.3   463   652   859  1048   818  1055 0.94 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1613at5820           -            801         0 1483.4  97.0   6   6   2.1e-75   1.7e-72  243.7   6.7   652   801  1148  1311  1144  1311 0.93 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 1613at5820           -            801   3.9e-48  163.1   1.4   1   5       2.4   1.9e+03   -4.5   0.5   379   411    60    92    39    95 0.64 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 1613at5820           -            801   3.9e-48  163.1   1.4   2   5   8.4e-11   6.9e-08   30.0   0.2   165   341   168   346   143   351 0.82 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 1613at5820           -            801   3.9e-48  163.1   1.4   3   5     2e-44   1.6e-41  141.2   0.1   477   723   482   743   475   754 0.82 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 1613at5820           -            801   3.9e-48  163.1   1.4   4   5     0.015        12    2.7   0.8   368   400   762   793   749   811 0.80 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 1613at5820           -            801   3.9e-48  163.1   1.4   5   5      0.32   2.6e+02   -1.6   0.3   614   682   806   881   792   883 0.54 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
