#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1117000.1-p1   -            671 5442at5820           -            422  4.1e-211  699.8  21.8   1   3   8.9e-65   1.5e-61  207.1   6.3     1   150     1   165     1   177 0.90 | transcript=PVP01_1117000.1 | gene=PVP01_1117000 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-1, putative | transcript_product=metacaspase-1, putative | location=PvP01_11_v2:728461-730476(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117000.1-p1   -            671 5442at5820           -            422  4.1e-211  699.8  21.8   2   3  5.6e-131  9.1e-128  425.2   1.3   144   360   336   554   331   559 0.96 | transcript=PVP01_1117000.1 | gene=PVP01_1117000 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-1, putative | transcript_product=metacaspase-1, putative | location=PvP01_11_v2:728461-730476(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117000.1-p1   -            671 5442at5820           -            422  4.1e-211  699.8  21.8   3   3   2.1e-25   3.4e-22   77.4   0.6   365   420   590   646   586   648 0.94 | transcript=PVP01_1117000.1 | gene=PVP01_1117000 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-1, putative | transcript_product=metacaspase-1, putative | location=PvP01_11_v2:728461-730476(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268600.1-p1   -           1925 5442at5820           -            422   2.5e-13   48.2   5.9   1   4      0.96   1.6e+03   -3.8   6.5   120   186   796   864   785   894 0.78 | transcript=PVP01_1268600.1 | gene=PVP01_1268600 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=PvP01_12_v2:2869682-2877467(-) | protein_length=1925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268600.1-p1   -           1925 5442at5820           -            422   2.5e-13   48.2   5.9   2   4     0.025        40    1.4   2.7   314   387  1163  1238  1158  1251 0.77 | transcript=PVP01_1268600.1 | gene=PVP01_1268600 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=PvP01_12_v2:2869682-2877467(-) | protein_length=1925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268600.1-p1   -           1925 5442at5820           -            422   2.5e-13   48.2   5.9   3   4   1.5e-16   2.5e-13   48.2   5.9   144   314  1418  1587  1405  1650 0.81 | transcript=PVP01_1268600.1 | gene=PVP01_1268600 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=PvP01_12_v2:2869682-2877467(-) | protein_length=1925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268600.1-p1   -           1925 5442at5820           -            422   2.5e-13   48.2   5.9   4   4       3.9   6.3e+03   -5.8   6.2    21    96  1785  1863  1777  1917 0.70 | transcript=PVP01_1268600.1 | gene=PVP01_1268600 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=PvP01_12_v2:2869682-2877467(-) | protein_length=1925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1332700.1-p1   -           1917 5442at5820           -            422   3.1e-13   47.9   0.3   1   2   1.8e-05     0.029   11.8   0.0   169   218  1291  1340  1237  1352 0.78 | transcript=PVP01_1332700.1 | gene=PVP01_1332700 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-3, putative | transcript_product=metacaspase-3, putative | location=PvP01_13_v2:1404355-1410108(+) | protein_length=1917 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1332700.1-p1   -           1917 5442at5820           -            422   3.1e-13   47.9   0.3   2   2   3.8e-12   6.3e-09   33.7   0.1   222   354  1421  1568  1403  1604 0.69 | transcript=PVP01_1332700.1 | gene=PVP01_1332700 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-3, putative | transcript_product=metacaspase-3, putative | location=PvP01_13_v2:1404355-1410108(+) | protein_length=1917 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117100.1-p1   -            493 5442at5820           -            422   4.8e-07   27.5   7.7   1   1   4.4e-10   7.2e-07   26.9   7.7    14   110    26   128    14   210 0.83 | transcript=PVP01_1117100.1 | gene=PVP01_1117100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:731871-733352(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
