#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1346100.1-p1   -            661 5150at5820           -            522  1.1e-302 1003.0  65.2   1   3   2.7e-22   1.2e-19   69.2   2.1     1    56     1    60     1    68 0.92 | transcript=PVP01_1346100.1 | gene=PVP01_1346100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=PvP01_13_v2:2008702-2012132(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1346100.1-p1   -            661 5150at5820           -            522  1.1e-302 1003.0  65.2   2   3   2.7e-95   1.2e-92  310.1  15.3    28   206    73   252    64   260 0.92 | transcript=PVP01_1346100.1 | gene=PVP01_1346100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=PvP01_13_v2:2008702-2012132(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1346100.1-p1   -            661 5150at5820           -            522  1.1e-302 1003.0  65.2   3   3  5.9e-194  2.6e-191  635.6  32.6   204   522   274   613   270   613 0.95 | transcript=PVP01_1346100.1 | gene=PVP01_1346100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=PvP01_13_v2:2008702-2012132(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 5150at5820           -            522   3.6e-24   84.1   7.5   1   4     2e-09   8.8e-07   26.7   0.0   119   203    15    96    10   101 0.92 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 5150at5820           -            522   3.6e-24   84.1   7.5   2   4   1.9e-06   0.00082   16.9   0.6   115   198    99   178    96   187 0.89 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 5150at5820           -            522   3.6e-24   84.1   7.5   3   4   5.6e-07   0.00025   18.6   0.2   115   189   188   256   180   262 0.80 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 5150at5820           -            522   3.6e-24   84.1   7.5   4   4   1.6e-08   6.8e-06   23.7   0.1   104   198   433   523   421   531 0.85 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 5150at5820           -            522   2.3e-14   51.7   2.7   1   2   9.5e-09   4.1e-06   24.5   0.2   110   196    10    93     5   101 0.87 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 5150at5820           -            522   2.3e-14   51.7   2.7   2   2   1.1e-09   4.7e-07   27.6   0.2   119   199   106   182    96   191 0.87 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607200.1-p1   -           1571 5150at5820           -            522   1.7e-08   32.4   1.7   1   2    0.0011      0.48    7.8   0.6   103   189   320   398   298   423 0.65 | transcript=PVP01_0607200.1 | gene=PVP01_0607200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=PvP01_06_v2:315846-320697(+) | protein_length=1571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607200.1-p1   -           1571 5150at5820           -            522   1.7e-08   32.4   1.7   2   2   2.6e-08   1.1e-05   23.0   0.0   120   197   439   517   425   524 0.92 | transcript=PVP01_0607200.1 | gene=PVP01_0607200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=PvP01_06_v2:315846-320697(+) | protein_length=1571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
