#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3   1  17   9.4e-15   3.1e-11   39.9   0.7    16    65   128   177   125   180 0.91 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3   2  17   1.6e-24   5.1e-21   72.4   6.1    62   118   222   279   213   285 0.88 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3   3  17   1.3e-31   4.2e-28   95.8   0.2   139   261   670   833   655   841 0.73 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3   4  17     1e-20   3.4e-17   59.7   0.0   275   338   958  1021   920  1029 0.81 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3   5  17   2.3e-54   7.4e-51  171.2   0.3   334   436  1081  1183  1056  1198 0.92 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3   6  17   1.9e-69     6e-66  221.2   0.1   468   593  1346  1471  1284  1478 0.81 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3   7  17   9.3e-15     3e-11   40.0   0.0   594   637  1499  1544  1494  1547 0.91 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3   8  17  5.2e-142  1.7e-138  461.7  17.7   636   872  1634  1871  1623  1884 0.95 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3   9  17   1.7e-13   5.7e-10   35.7   5.0   868   932  2077  2141  2067  2164 0.71 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3  10  17   1.8e-16   5.7e-13   45.7   1.3   928   983  2196  2252  2155  2282 0.80 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3  11  17   2.3e-44   7.5e-41  138.1   0.2   988  1095  2327  2434  2303  2437 0.92 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3  12  17     1e-07   0.00034   16.6   0.1  1089  1120  2480  2509  2474  2520 0.85 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3  13  17   1.2e-26   3.8e-23   79.4   0.9  1123  1173  2575  2625  2564  2631 0.93 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3  14  17   1.7e-28   5.7e-25   85.4   0.1  1174  1236  2677  2739  2671  2753 0.92 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3  15  17     9e-13   2.9e-09   33.4   4.2  1256  1309  2817  2874  2812  2874 0.86 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
