#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0803400.1-p1   -            286 11400at5820          -            224  3.8e-125  414.3  46.4   1   3  2.4e-114  1.5e-111  369.8  35.3     1   193    11   213    11   222 0.95 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803400.1-p1   -            286 11400at5820          -            224  3.8e-125  414.3  46.4   2   3   1.1e-05    0.0071   14.4   1.2   179   200   218   239   210   245 0.77 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803400.1-p1   -            286 11400at5820          -            224  3.8e-125  414.3  46.4   3   3   7.8e-13   5.1e-10   37.8   0.2   184   224   246   286   242   286 0.89 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836200.1-p1   -            869 11400at5820          -            224   2.2e-40  137.1  29.6   1   3   3.3e-43   2.2e-40  137.1  29.6    12   145    69   202    59   288 0.81 | transcript=PVP01_0836200.1 | gene=PVP01_0836200 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=PvP01_08_v2:1529673-1532983(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836200.1-p1   -            869 11400at5820          -            224   2.2e-40  137.1  29.6   2   3      0.19   1.3e+02    0.5  10.8    54   120   388   451   361   504 0.64 | transcript=PVP01_0836200.1 | gene=PVP01_0836200 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=PvP01_08_v2:1529673-1532983(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836200.1-p1   -            869 11400at5820          -            224   2.2e-40  137.1  29.6   3   3      0.51   3.3e+02   -0.9   0.1   119   157   768   806   756   835 0.68 | transcript=PVP01_0836200.1 | gene=PVP01_0836200 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=PvP01_08_v2:1529673-1532983(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 11400at5820          -            224   4.3e-13   47.8  67.9   1   4   1.6e-08     1e-05   23.7  10.5    47    93    93   137    88   141 0.87 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 11400at5820          -            224   4.3e-13   47.8  67.9   2   4   6.2e-11   4.1e-08   31.5  33.0    46   146   128   236   128   243 0.79 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 11400at5820          -            224   4.3e-13   47.8  67.9   3   4   6.3e-06    0.0041   15.2  27.7    28   126   168   264   168   265 0.72 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 11400at5820          -            224   4.3e-13   47.8  67.9   4   4      0.11        74    1.2  14.7    44    95   244   293   233   334 0.76 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008000.1-p1   -            301 11400at5820          -            224   4.4e-12   44.5  48.8   1   2   1.5e-13   9.5e-11   40.1  22.6    45   125    39   117    29   117 0.89 | transcript=PVP01_1008000.1 | gene=PVP01_1008000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=PvP01_10_v2:356001-356906(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008000.1-p1   -            301 11400at5820          -            224   4.4e-12   44.5  48.8   2   2     1e-06   0.00067   17.8  18.2    59   179    97   219    97   237 0.69 | transcript=PVP01_1008000.1 | gene=PVP01_1008000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=PvP01_10_v2:356001-356906(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1203100.1-p1   -           1268 11400at5820          -            224   6.4e-12   44.0  38.4   1   3       1.7   1.1e+03   -2.6   0.0   197   216   518   537   513   542 0.85 | transcript=PVP01_1203100.1 | gene=PVP01_1203100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=PvP01_12_v2:128204-132374(-) | protein_length=1268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1203100.1-p1   -           1268 11400at5820          -            224   6.4e-12   44.0  38.4   2   3   9.9e-15   6.4e-12   44.0  38.4    20   143   594   717   573   726 0.94 | transcript=PVP01_1203100.1 | gene=PVP01_1203100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=PvP01_12_v2:128204-132374(-) | protein_length=1268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1203100.1-p1   -           1268 11400at5820          -            224   6.4e-12   44.0  38.4   3   3        10   6.5e+03  -12.4  29.0    29   117   727   805   717   838 0.40 | transcript=PVP01_1203100.1 | gene=PVP01_1203100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=PvP01_12_v2:128204-132374(-) | protein_length=1268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942600.1-p1   -            516 11400at5820          -            224   2.8e-08   32.1  10.0   1   2   4.3e-11   2.8e-08   32.1  10.0    54   148    81   175    72   180 0.92 | transcript=PVP01_0942600.1 | gene=PVP01_0942600 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=PvP01_09_v2:1882885-1884435(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
