#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1414800.1-p1   -            400 9069at5820           -            368    6e-196  649.1  34.9   1   1  8.3e-199  6.8e-196  648.9  34.9     1   368     1   400     1   400 0.95 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810600.1-p1   -            188 9069at5820           -            368   1.9e-10   38.7   0.8   1   1   2.7e-13   2.2e-10   38.5   0.8    81   182    53   160    20   174 0.86 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0509200.1-p1   -            185 9069at5820           -            368   2.1e-08   32.0  10.5   1   2   2.5e-07    0.0002   18.9   7.6   150   219    35   102    16   111 0.79 | transcript=PVP01_0509200.1 | gene=PVP01_0509200 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_05_v2:409789-411232(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0509200.1-p1   -            185 9069at5820           -            368   2.1e-08   32.0  10.5   2   2   4.2e-08   3.4e-05   21.5   3.5   147   241    65   162    63   174 0.80 | transcript=PVP01_0509200.1 | gene=PVP01_0509200 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_05_v2:409789-411232(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 9069at5820           -            368   4.3e-07   27.7   0.1   1   1   1.4e-09   1.1e-06   26.3   0.1    82   233   399   557   389   591 0.84 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 9069at5820           -            368   1.2e-05   22.9   0.8   1   3     0.044        36    1.6   0.1   131   171    10    52     5    99 0.64 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 9069at5820           -            368   1.2e-05   22.9   0.8   2   3    0.0043       3.5    5.0   0.0   128   182    54   114    39   119 0.69 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 9069at5820           -            368   1.2e-05   22.9   0.8   3   3   3.4e-07   0.00028   18.4   0.1    64   179    91   210    67   219 0.77 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 9069at5820           -            368   4.3e-05   21.1   0.2   1   3   5.2e-08   4.3e-05   21.1   0.2    79   154  1010  1090   998  1097 0.85 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 9069at5820           -            368   4.3e-05   21.1   0.2   2   3   0.00054      0.44    7.9   2.3   100   240  1103  1251  1090  1262 0.64 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 9069at5820           -            368   4.3e-05   21.1   0.2   3   3         8   6.5e+03   -6.9   5.0   216   244  1380  1410  1368  1413 0.53 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
