#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4   1  17   2.8e-18   9.1e-15   51.9   0.1    14    94    35   132    10   135 0.84 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4   2  17   1.8e-06    0.0059   12.8   0.0    93   125   155   187   153   192 0.92 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4   3  17    0.0078        26    0.7   0.0   131   149   241   259   232   264 0.82 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4   4  17   7.7e-21   2.5e-17   60.4   0.0   147   206   310   370   304   372 0.94 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4   5  17   2.5e-26   8.1e-23   78.6   0.5   212   278   455   521   442   530 0.91 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4   6  17   3.9e-23   1.3e-19   68.0   0.0   280   328   552   600   549   603 0.95 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4   7  17   5.3e-20   1.7e-16   57.6   0.0   329   386   657   724   651   733 0.82 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4   8  17   2.5e-38     8e-35  118.4   0.0   382   469   753   844   750   850 0.93 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4   9  17   4.5e-40   1.5e-36  124.1   0.2   471   587   881  1017   873  1080 0.79 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4  10  17     0.035   1.1e+02   -1.4   0.0   621   653  1133  1174  1128  1180 0.75 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4  11  17   1.8e-07    0.0006   16.1   0.0   653   700  1205  1260  1195  1271 0.74 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
