#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0920000.1-p1   -           1953 828at5820            -           1161         0 1729.2 109.5   1   9   5.2e-74   1.1e-70  237.3   4.9     1   141     1   144     1   150 0.98 | transcript=PVP01_0920000.1 | gene=PVP01_0920000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=PvP01_09_v2:867738-873599(+) | protein_length=1953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920000.1-p1   -           1953 828at5820            -           1161         0 1729.2 109.5   2   9   2.2e-16   4.9e-13   46.4   0.8   139   178   183   222   178   229 0.93 | transcript=PVP01_0920000.1 | gene=PVP01_0920000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=PvP01_09_v2:867738-873599(+) | protein_length=1953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920000.1-p1   -           1953 828at5820            -           1161         0 1729.2 109.5   3   9   3.5e-75   7.6e-72  241.1   9.8   179   388   282   540   272   543 0.85 | transcript=PVP01_0920000.1 | gene=PVP01_0920000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=PvP01_09_v2:867738-873599(+) | protein_length=1953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920000.1-p1   -           1953 828at5820            -           1161         0 1729.2 109.5   4   9   4.2e-26   9.1e-23   78.6   0.2   388   445   633   691   630   695 0.95 | transcript=PVP01_0920000.1 | gene=PVP01_0920000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=PvP01_09_v2:867738-873599(+) | protein_length=1953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920000.1-p1   -           1953 828at5820            -           1161         0 1729.2 109.5   5   9   4.1e-55   8.9e-52  174.7  23.9   453   606   866  1052   847  1056 0.86 | transcript=PVP01_0920000.1 | gene=PVP01_0920000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=PvP01_09_v2:867738-873599(+) | protein_length=1953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920000.1-p1   -           1953 828at5820            -           1161         0 1729.2 109.5   6   9   3.6e-35   7.9e-32  108.6   0.2   625   700  1168  1243  1151  1250 0.93 | transcript=PVP01_0920000.1 | gene=PVP01_0920000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=PvP01_09_v2:867738-873599(+) | protein_length=1953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920000.1-p1   -           1953 828at5820            -           1161         0 1729.2 109.5   7   9  3.7e-139  7.9e-136  453.0  15.0   699   948  1270  1531  1264  1535 0.95 | transcript=PVP01_0920000.1 | gene=PVP01_0920000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=PvP01_09_v2:867738-873599(+) | protein_length=1953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920000.1-p1   -           1953 828at5820            -           1161         0 1729.2 109.5   8   9   2.3e-10   4.9e-07   26.5   0.4   946   973  1622  1649  1617  1654 0.93 | transcript=PVP01_0920000.1 | gene=PVP01_0920000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=PvP01_09_v2:867738-873599(+) | protein_length=1953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920000.1-p1   -           1953 828at5820            -           1161         0 1729.2 109.5   9   9  2.4e-123  5.2e-120  400.7   0.8   966  1161  1757  1953  1746  1953 0.95 | transcript=PVP01_0920000.1 | gene=PVP01_0920000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=PvP01_09_v2:867738-873599(+) | protein_length=1953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 828at5820            -           1161   4.8e-56  188.8   8.0   1   9         3   6.5e+03   -7.3   6.0   404   498   161   251   152   271 0.69 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 828at5820            -           1161   4.8e-56  188.8   8.0   2   9         3   6.5e+03   -9.1   6.3   469   515  1274  1321  1239  1334 0.72 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 828at5820            -           1161   4.8e-56  188.8   8.0   3   9     0.072   1.6e+02   -1.7   2.6   709   757  2490  2539  2445  2552 0.73 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 828at5820            -           1161   4.8e-56  188.8   8.0   4   9         3   6.5e+03  -26.6  28.3   575   631  5023  5078  5011  5087 0.61 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 828at5820            -           1161   4.8e-56  188.8   8.0   5   9         3   6.5e+03   -9.1   7.4   567   603  5077  5111  5068  5118 0.72 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 828at5820            -           1161   4.8e-56  188.8   8.0   6   9         3   6.5e+03   -7.0   9.9   576   676  5242  5340  5226  5372 0.61 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 828at5820            -           1161   4.8e-56  188.8   8.0   7   9       1.4     3e+03   -5.9   2.5   261   321  7494  7551  7489  7568 0.74 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 828at5820            -           1161   4.8e-56  188.8   8.0   8   9   1.5e-18   3.3e-15   53.6   3.5   721   925  8141  8355  8115  8363 0.76 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 828at5820            -           1161   4.8e-56  188.8   8.0   9   9   1.3e-47   2.9e-44  149.8   0.1   968  1158  8358  8555  8352  8557 0.90 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104800.1-p1   -           3833 828at5820            -           1161   2.4e-27   93.8   4.1   1   4         3   6.5e+03  -27.3  24.6   588   597   165   174   137   201 0.44 | transcript=PVP01_0104800.1 | gene=PVP01_0104800 | organism=Plasmodium_vivax_P01 | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=PvP01_01_v2:248713-261673(-) | protein_length=3833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
