#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0815700.1-p1   -            580 4457at5820           -            537         0 1213.3  26.6   1   1         0         0 1213.1  26.6     1   537    33   580    33   580 0.99 | transcript=PVP01_0815700.1 | gene=PVP01_0815700 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=PvP01_08_v2:692390-694405(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450300.1-p1   -            710 4457at5820           -            537  1.8e-107  358.7  25.4   1   2   2.6e-95   2.4e-92  308.8  12.9     1   419    71   498    71   511 0.97 | transcript=PVP01_1450300.1 | gene=PVP01_1450300 | organism=Plasmodium_vivax_P01 | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=PvP01_14_v2:2195193-2197694(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450300.1-p1   -            710 4457at5820           -            537  1.8e-107  358.7  25.4   2   2     1e-18   9.6e-16   55.9   4.6   434   526   541   634   525   642 0.90 | transcript=PVP01_1450300.1 | gene=PVP01_1450300 | organism=Plasmodium_vivax_P01 | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=PvP01_14_v2:2195193-2197694(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114100.1-p1   -            529 4457at5820           -            537   2.7e-15   54.5   6.7   1   2   1.9e-10   1.8e-07   28.7   3.1     7   103    20   111    16   238 0.88 | transcript=PVP01_1114100.1 | gene=PVP01_1114100 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=PvP01_11_v2:606928-609269(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114100.1-p1   -            529 4457at5820           -            537   2.7e-15   54.5   6.7   2   2   5.5e-10   5.2e-07   27.1   0.1   385   510   386   516   360   528 0.79 | transcript=PVP01_1114100.1 | gene=PVP01_1114100 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=PvP01_11_v2:606928-609269(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819900.1-p1   -            535 4457at5820           -            537   2.7e-13   47.9  14.2   1   2   4.1e-10   3.8e-07   27.6   5.8     6   210    25   243    20   268 0.72 | transcript=PVP01_0819900.1 | gene=PVP01_0819900 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=PvP01_08_v2:879599-881206(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819900.1-p1   -            535 4457at5820           -            537   2.7e-13   47.9  14.2   2   2   1.7e-09   1.6e-06   25.5   1.3   381   508   384   517   371   533 0.71 | transcript=PVP01_0819900.1 | gene=PVP01_0819900 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=PvP01_08_v2:879599-881206(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0832000.1-p1   -            540 4457at5820           -            537   3.6e-12   44.1   5.9   1   2   1.5e-08   1.4e-05   22.4   1.5    14   132    29   142    17   190 0.86 | transcript=PVP01_0832000.1 | gene=PVP01_0832000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=PvP01_08_v2:1369899-1371678(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0832000.1-p1   -            540 4457at5820           -            537   3.6e-12   44.1   5.9   2   2   5.1e-09   4.8e-06   23.9   0.2   371   519   369   523   356   533 0.81 | transcript=PVP01_0832000.1 | gene=PVP01_0832000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=PvP01_08_v2:1369899-1371678(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0933000.1-p1   -            543 4457at5820           -            537   5.7e-11   40.2   3.4   1   2   4.8e-12   4.5e-09   33.9   1.6     6   145    12   150     8   207 0.83 | transcript=PVP01_0933000.1 | gene=PVP01_0933000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=PvP01_09_v2:1413429-1415302(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0933000.1-p1   -            543 4457at5820           -            537   5.7e-11   40.2   3.4   2   2    0.0017       1.6    5.7   0.0   379   417   375   414   365   436 0.78 | transcript=PVP01_0933000.1 | gene=PVP01_0933000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=PvP01_09_v2:1413429-1415302(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
