#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1308600.1-p1   -           1005 3536at5820           -            688         0 1157.2 105.8   1   5   5.8e-18   9.4e-15   52.5   2.7    18    69    67   121    51   124 0.85 | transcript=PVP01_1308600.1 | gene=PVP01_1308600 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=PvP01_13_v2:400361-403792(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308600.1-p1   -           1005 3536at5820           -            688         0 1157.2 105.8   2   5     8e-40   1.3e-36  124.8  12.8    72   181   229   346   223   352 0.92 | transcript=PVP01_1308600.1 | gene=PVP01_1308600 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=PvP01_13_v2:400361-403792(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308600.1-p1   -           1005 3536at5820           -            688         0 1157.2 105.8   3   5   6.4e-14     1e-10   39.2  16.8   177   223   382   428   378   437 0.86 | transcript=PVP01_1308600.1 | gene=PVP01_1308600 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=PvP01_13_v2:400361-403792(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308600.1-p1   -           1005 3536at5820           -            688         0 1157.2 105.8   4   5   0.00075       1.2    5.9   1.8   200   234   432   465   424   468 0.74 | transcript=PVP01_1308600.1 | gene=PVP01_1308600 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=PvP01_13_v2:400361-403792(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308600.1-p1   -           1005 3536at5820           -            688         0 1157.2 105.8   5   5  1.5e-291  2.5e-288  956.7  43.8   231   688   536  1001   527  1001 0.98 | transcript=PVP01_1308600.1 | gene=PVP01_1308600 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=PvP01_13_v2:400361-403792(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422300.1-p1   -           1164 3536at5820           -            688   3.2e-55  186.3  79.6   1   2         4   6.5e+03   -7.2  16.3    65   168   421   526   358   549 0.68 | transcript=PVP01_1422300.1 | gene=PVP01_1422300 | organism=Plasmodium_vivax_P01 | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=PvP01_14_v2:970600-975838(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422300.1-p1   -           1164 3536at5820           -            688   3.2e-55  186.3  79.6   2   2     6e-58   9.8e-55  184.7  68.4    97   675   488  1130   485  1148 0.68 | transcript=PVP01_1422300.1 | gene=PVP01_1422300 | organism=Plasmodium_vivax_P01 | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=PvP01_14_v2:970600-975838(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422400.1-p1   -            783 3536at5820           -            688   6.4e-48  162.2  20.6   1   3     0.011        18    2.0   0.9   312   351    29    73     4    77 0.68 | transcript=PVP01_1422400.1 | gene=PVP01_1422400 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=PvP01_14_v2:979170-982949(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422400.1-p1   -            783 3536at5820           -            688   6.4e-48  162.2  20.6   2   3         4   6.5e+03   -6.5  30.6   105   331   129   365   121   379 0.70 | transcript=PVP01_1422400.1 | gene=PVP01_1422400 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=PvP01_14_v2:979170-982949(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422400.1-p1   -            783 3536at5820           -            688   6.4e-48  162.2  20.6   3   3   3.9e-51   6.4e-48  162.2  20.6   376   676   459   753   453   762 0.92 | transcript=PVP01_1422400.1 | gene=PVP01_1422400 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=PvP01_14_v2:979170-982949(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236300.1-p1   -            803 3536at5820           -            688   9.8e-38  128.5  67.2   1   2   1.8e-40   2.9e-37  126.9  57.1    98   607    91   630    66   676 0.69 | transcript=PVP01_1236300.1 | gene=PVP01_1236300 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=PvP01_12_v2:1443594-1446876(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
