#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5   1  14   3.8e-72   2.5e-68  229.2   4.1     1   137     1   140     1   149 0.95 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5   2  14  1.7e-114  1.1e-110  369.5   1.9   139   401   298   584   291   587 0.92 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5   3  14     6e-50   3.9e-46  155.6   3.0   398   521   676   823   671   830 0.85 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5   4  14     0.059   3.8e+02   -3.4   0.0   537   554   890   907   890   909 0.91 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5   5  14   7.3e-05      0.48    6.2   0.1   571   596  1003  1028   997  1033 0.88 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5   6  14   2.9e-38   1.9e-34  116.9   2.1   596   719  1061  1200  1054  1203 0.89 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5   7  14   3.6e-20   2.4e-16   56.9   0.0   718   795  1228  1318  1211  1326 0.85 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5   8  14   9.1e-35     6e-31  105.3   0.0   797   886  1356  1451  1354  1456 0.91 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5   9  14   9.3e-15   6.1e-11   39.0   0.0   886   932  1481  1538  1472  1544 0.83 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5  10  14   1.6e-05      0.11    8.4   0.0   932   961  1564  1593  1561  1600 0.90 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5  11  14   7.6e-18   4.9e-14   49.2   0.0   953  1013  1649  1709  1636  1712 0.91 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5  12  14   4.8e-82   3.2e-78  262.0   4.2  1009  1177  1754  1950  1751  1965 0.86 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
