#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1210600.1-p1   -            928 3403at5820           -            757         0 1409.5  72.5   1   2         0         0 1036.8  32.2     3   528    20   573    18   586 0.96 | transcript=PVP01_1210600.1 | gene=PVP01_1210600 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=PvP01_12_v2:440718-443504(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210600.1-p1   -            928 3403at5820           -            757         0 1409.5  72.5   2   2  1.4e-116  1.9e-113  378.7  32.3   522   753   617   854   611   857 0.95 | transcript=PVP01_1210600.1 | gene=PVP01_1210600 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=PvP01_12_v2:440718-443504(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0716300.1-p1   -            652 3403at5820           -            757   1.7e-41  140.8  16.5   1   2   1.5e-05     0.019   11.6   0.0     9    80    30   100    25   111 0.84 | transcript=PVP01_0716300.1 | gene=PVP01_0716300 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=PvP01_07_v2:727938-730337(+) | protein_length=652 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0716300.1-p1   -            652 3403at5820           -            757   1.7e-41  140.8  16.5   2   2   6.5e-40   8.5e-37  125.2  16.3   120   645   116   626   110   632 0.84 | transcript=PVP01_0716300.1 | gene=PVP01_0716300 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=PvP01_07_v2:727938-730337(+) | protein_length=652 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515400.1-p1   -            690 3403at5820           -            757   1.6e-34  117.7   5.5   1   2   0.00013      0.16    8.6   0.0     9    85    17    92    11   101 0.88 | transcript=PVP01_0515400.1 | gene=PVP01_0515400 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=PvP01_05_v2:641615-643687(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515400.1-p1   -            690 3403at5820           -            757   1.6e-34  117.7   5.5   2   2   1.5e-34     2e-31  107.5   4.2   177   648   153   622   109   626 0.81 | transcript=PVP01_0515400.1 | gene=PVP01_0515400 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=PvP01_05_v2:641615-643687(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109100.1-p1   -            887 3403at5820           -            757   5.3e-27   92.8  40.3   1   3   7.7e-05       0.1    9.3   0.2     8    79     2    72     1    91 0.82 | transcript=PVP01_0109100.1 | gene=PVP01_0109100 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=PvP01_01_v2:435685-438348(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109100.1-p1   -            887 3403at5820           -            757   5.3e-27   92.8  40.3   2   3     9e-21   1.2e-17   61.9   7.5   178   440   141   428   134   515 0.76 | transcript=PVP01_0109100.1 | gene=PVP01_0109100 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=PvP01_01_v2:435685-438348(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109100.1-p1   -            887 3403at5820           -            757   5.3e-27   92.8  40.3   3   3   8.7e-11   1.1e-07   28.9  19.3   566   754   642   831   622   835 0.74 | transcript=PVP01_0109100.1 | gene=PVP01_0109100 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=PvP01_01_v2:435685-438348(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934800.1-p1   -            663 3403at5820           -            757   9.5e-24   82.1  13.2   1   2     0.019        25    1.3   0.1     6    93    40   127    36   133 0.86 | transcript=PVP01_0934800.1 | gene=PVP01_0934800 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=PvP01_09_v2:1483505-1485496(+) | protein_length=663 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934800.1-p1   -            663 3403at5820           -            757   9.5e-24   82.1  13.2   2   2   3.6e-26   4.7e-23   79.8   9.5   178   589   177   578   153   638 0.76 | transcript=PVP01_0934800.1 | gene=PVP01_0934800 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=PvP01_09_v2:1483505-1485496(+) | protein_length=663 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
