#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0613000.1-p1   -            281 9820at5820           -            253  1.4e-147  488.6  12.8   1   1  2.4e-150  1.6e-147  488.5  12.8     1   253    11   276    11   276 0.96 | transcript=PVP01_0613000.1 | gene=PVP01_0613000 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=PvP01_06_v2:560817-563386(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005400.1-p1   -            437 9820at5820           -            253   5.4e-48  162.3  22.1   1   1   1.3e-50   8.7e-48  161.7  22.1     3   251   142   414   140   416 0.86 | transcript=PVP01_1005400.1 | gene=PVP01_1005400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=PvP01_10_v2:247939-250570(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139200.1-p1   -            284 9820at5820           -            253   6.2e-38  129.4  20.2   1   1   1.3e-40   8.8e-38  128.9  20.2    51   249    58   272    19   276 0.76 | transcript=PVP01_1139200.1 | gene=PVP01_1139200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC2, putative | transcript_product=palmitoyltransferase DHHC2, putative | location=PvP01_11_v2:1657663-1659306(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916500.1-p1   -            272 9820at5820           -            253   1.1e-23   82.7   9.2   1   1   2.2e-26   1.5e-23   82.3   9.2    56   239    26   225     4   240 0.76 | transcript=PVP01_0916500.1 | gene=PVP01_0916500 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=PvP01_09_v2:740696-742699(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409100.1-p1   -            272 9820at5820           -            253     1e-14   53.3   8.4   1   1   2.1e-17   1.4e-14   52.9   8.4    13   218     9   228     2   259 0.68 | transcript=PVP01_0409100.1 | gene=PVP01_0409100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC11, putative | transcript_product=palmitoyltransferase DHHC11, putative | location=PvP01_04_v2:369394-371760(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423400.1-p1   -           1013 9820at5820           -            253   1.5e-11   42.9  35.6   1   2   4.9e-14   3.2e-11   41.8  29.8    21   233    44   292    35   307 0.70 | transcript=PVP01_1423400.1 | gene=PVP01_1423400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=PvP01_14_v2:1031840-1035661(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423400.1-p1   -           1013 9820at5820           -            253   1.5e-11   42.9  35.6   2   2      0.17   1.1e+02    0.7   0.3    82   121   634   674   624   694 0.84 | transcript=PVP01_1423400.1 | gene=PVP01_1423400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=PvP01_14_v2:1031840-1035661(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422200.1-p1   -            297 9820at5820           -            253   3.3e-09   35.2  27.7   1   1   1.4e-11   9.2e-09   33.8  27.7    39   210    62   254    30   291 0.65 | transcript=PVP01_1422200.1 | gene=PVP01_1422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=PvP01_14_v2:967105-969730(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921600.1-p1   -            289 9820at5820           -            253     6e-07   27.9  35.1   1   1     4e-09   2.6e-06   25.7  35.0    47   228    57   257    28   267 0.61 | transcript=PVP01_0921600.1 | gene=PVP01_0921600 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC3, putative | transcript_product=palmitoyltransferase DHHC3, putative | location=PvP01_09_v2:936511-938168(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731200.1-p1   -            520 9820at5820           -            253   1.1e-05   23.7   7.8   1   1   3.1e-08     2e-05   22.9   7.8    93   210   296   413   287   420 0.75 | transcript=PVP01_0731200.1 | gene=PVP01_0731200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=PvP01_07_v2:1312725-1315612(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 9820at5820           -            253     8e-05   20.9  16.3   1   2       5.4   3.5e+03   -4.2   2.2   120   148   254   286   247   316 0.57 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
