#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1301900.1-p1   -           2019 810at5820            -           1098         0 1863.6 122.7   1   9  5.4e-115  3.5e-111  371.2  12.5     1   187     1   194     1   206 0.96 | transcript=PVP01_1301900.1 | gene=PVP01_1301900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=PvP01_13_v2:93179-100182(-) | protein_length=2019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301900.1-p1   -           2019 810at5820            -           1098         0 1863.6 122.7   2   9   3.6e-39   2.4e-35  120.1   0.2   181   277   301   400   291   406 0.93 | transcript=PVP01_1301900.1 | gene=PVP01_1301900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=PvP01_13_v2:93179-100182(-) | protein_length=2019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301900.1-p1   -           2019 810at5820            -           1098         0 1863.6 122.7   3   9   8.4e-94   5.5e-90  301.0  10.7   278   431   441   594   432   599 0.98 | transcript=PVP01_1301900.1 | gene=PVP01_1301900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=PvP01_13_v2:93179-100182(-) | protein_length=2019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301900.1-p1   -           2019 810at5820            -           1098         0 1863.6 122.7   4   9  5.8e-144  3.8e-140  467.1  13.1   429   647   632   862   626   865 0.95 | transcript=PVP01_1301900.1 | gene=PVP01_1301900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=PvP01_13_v2:93179-100182(-) | protein_length=2019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301900.1-p1   -           2019 810at5820            -           1098         0 1863.6 122.7   5   9   4.5e-40   2.9e-36  123.1   6.4   687   869  1204  1393  1185  1403 0.75 | transcript=PVP01_1301900.1 | gene=PVP01_1301900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=PvP01_13_v2:93179-100182(-) | protein_length=2019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301900.1-p1   -           2019 810at5820            -           1098         0 1863.6 122.7   6   9     3e-28   1.9e-24   84.0   0.6   811   867  1437  1493  1418  1505 0.92 | transcript=PVP01_1301900.1 | gene=PVP01_1301900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=PvP01_13_v2:93179-100182(-) | protein_length=2019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301900.1-p1   -           2019 810at5820            -           1098         0 1863.6 122.7   7   9   3.2e-22   2.1e-18   64.0   0.2   811   868  1539  1596  1511  1618 0.82 | transcript=PVP01_1301900.1 | gene=PVP01_1301900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=PvP01_13_v2:93179-100182(-) | protein_length=2019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301900.1-p1   -           2019 810at5820            -           1098         0 1863.6 122.7   8   9   4.2e-13   2.7e-09   33.8   0.0   744   799  1622  1677  1611  1686 0.79 | transcript=PVP01_1301900.1 | gene=PVP01_1301900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=PvP01_13_v2:93179-100182(-) | protein_length=2019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301900.1-p1   -           2019 810at5820            -           1098         0 1863.6 122.7   9   9  4.7e-104    3e-100  335.0  28.0   898  1098  1797  2002  1783  2002 0.92 | transcript=PVP01_1301900.1 | gene=PVP01_1301900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=PvP01_13_v2:93179-100182(-) | protein_length=2019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/810at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/810at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/810at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:05 2026
# [ok]
