#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0605800.1-p1   -           1559 2368at5820           -            875  8.9e-293  972.2  25.7   1  12   9.1e-56   5.9e-52  175.5  18.2     1   123     1   126     1   136 0.93 | transcript=PVP01_0605800.1 | gene=PVP01_0605800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:230081-235046(+) | protein_length=1559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605800.1-p1   -           1559 2368at5820           -            875  8.9e-293  972.2  25.7   2  12   7.1e-22   4.6e-18   63.3   0.0   121   169   155   203   149   207 0.94 | transcript=PVP01_0605800.1 | gene=PVP01_0605800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:230081-235046(+) | protein_length=1559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605800.1-p1   -           1559 2368at5820           -            875  8.9e-293  972.2  25.7   3  12   1.4e-54   9.2e-51  171.5   0.0   171   296   252   379   247   392 0.95 | transcript=PVP01_0605800.1 | gene=PVP01_0605800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:230081-235046(+) | protein_length=1559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605800.1-p1   -           1559 2368at5820           -            875  8.9e-293  972.2  25.7   4  12    0.0043        28    1.2   0.0   297   316   425   444   418   450 0.90 | transcript=PVP01_0605800.1 | gene=PVP01_0605800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:230081-235046(+) | protein_length=1559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605800.1-p1   -           1559 2368at5820           -            875  8.9e-293  972.2  25.7   5  12   8.9e-36   5.8e-32  109.3   0.9   332   437   602   719   588   726 0.88 | transcript=PVP01_0605800.1 | gene=PVP01_0605800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:230081-235046(+) | protein_length=1559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605800.1-p1   -           1559 2368at5820           -            875  8.9e-293  972.2  25.7   6  12   1.5e-07   0.00095   16.0   0.0   437   473   745   783   744   795 0.87 | transcript=PVP01_0605800.1 | gene=PVP01_0605800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:230081-235046(+) | protein_length=1559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605800.1-p1   -           1559 2368at5820           -            875  8.9e-293  972.2  25.7   7  12   0.00056       3.7    4.1   0.0   481   502   850   871   846   877 0.90 | transcript=PVP01_0605800.1 | gene=PVP01_0605800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:230081-235046(+) | protein_length=1559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605800.1-p1   -           1559 2368at5820           -            875  8.9e-293  972.2  25.7   8  12   2.1e-36   1.3e-32  111.4   0.0   504   626   979  1115   973  1121 0.86 | transcript=PVP01_0605800.1 | gene=PVP01_0605800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:230081-235046(+) | protein_length=1559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605800.1-p1   -           1559 2368at5820           -            875  8.9e-293  972.2  25.7   9  12   6.2e-37     4e-33  113.2   0.0   622   699  1135  1212  1131  1216 0.95 | transcript=PVP01_0605800.1 | gene=PVP01_0605800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:230081-235046(+) | protein_length=1559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605800.1-p1   -           1559 2368at5820           -            875  8.9e-293  972.2  25.7  10  12   7.6e-33     5e-29   99.6   0.0   701   780  1252  1341  1244  1347 0.90 | transcript=PVP01_0605800.1 | gene=PVP01_0605800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:230081-235046(+) | protein_length=1559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605800.1-p1   -           1559 2368at5820           -            875  8.9e-293  972.2  25.7  11  12   1.8e-16   1.2e-12   45.4   0.0   781   833  1409  1463  1403  1481 0.90 | transcript=PVP01_0605800.1 | gene=PVP01_0605800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:230081-235046(+) | protein_length=1559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605800.1-p1   -           1559 2368at5820           -            875  8.9e-293  972.2  25.7  12  12   1.9e-17   1.3e-13   48.6   0.4   833   875  1503  1546  1500  1546 0.93 | transcript=PVP01_0605800.1 | gene=PVP01_0605800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:230081-235046(+) | protein_length=1559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2368at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2368at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2368at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:23 2026
# [ok]
