#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1328700.1-p1   -           1197 1692at5820           -            932         0 1505.7  87.3   1   6   1.9e-14   4.1e-11   40.3   0.0     1    47    14    64    14    74 0.91 | transcript=PVP01_1328700.1 | gene=PVP01_1328700 | organism=Plasmodium_vivax_P01 | gene_product=myosin-specific chaperone UNC, putative | transcript_product=myosin-specific chaperone UNC, putative | location=PvP01_13_v2:1212875-1216468(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328700.1-p1   -           1197 1692at5820           -            932         0 1505.7  87.3   2   6   3.1e-34   6.6e-31  105.8   5.6    44   116    83   158    79   164 0.93 | transcript=PVP01_1328700.1 | gene=PVP01_1328700 | organism=Plasmodium_vivax_P01 | gene_product=myosin-specific chaperone UNC, putative | transcript_product=myosin-specific chaperone UNC, putative | location=PvP01_13_v2:1212875-1216468(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328700.1-p1   -           1197 1692at5820           -            932         0 1505.7  87.3   3   6   2.7e-68     6e-65  218.5  17.8   117   316   186   422   182   434 0.87 | transcript=PVP01_1328700.1 | gene=PVP01_1328700 | organism=Plasmodium_vivax_P01 | gene_product=myosin-specific chaperone UNC, putative | transcript_product=myosin-specific chaperone UNC, putative | location=PvP01_13_v2:1212875-1216468(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328700.1-p1   -           1197 1692at5820           -            932         0 1505.7  87.3   4   6  2.2e-107  4.8e-104  347.9  10.5   312   519   446   659   433   664 0.96 | transcript=PVP01_1328700.1 | gene=PVP01_1328700 | organism=Plasmodium_vivax_P01 | gene_product=myosin-specific chaperone UNC, putative | transcript_product=myosin-specific chaperone UNC, putative | location=PvP01_13_v2:1212875-1216468(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328700.1-p1   -           1197 1692at5820           -            932         0 1505.7  87.3   5   6   7.8e-79   1.7e-75  253.4   9.6   517   651   735   870   731   877 0.96 | transcript=PVP01_1328700.1 | gene=PVP01_1328700 | organism=Plasmodium_vivax_P01 | gene_product=myosin-specific chaperone UNC, putative | transcript_product=myosin-specific chaperone UNC, putative | location=PvP01_13_v2:1212875-1216468(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328700.1-p1   -           1197 1692at5820           -            932         0 1505.7  87.3   6   6  8.5e-173  1.8e-169  564.4   8.9   645   932   899  1197   896  1197 0.96 | transcript=PVP01_1328700.1 | gene=PVP01_1328700 | organism=Plasmodium_vivax_P01 | gene_product=myosin-specific chaperone UNC, putative | transcript_product=myosin-specific chaperone UNC, putative | location=PvP01_13_v2:1212875-1216468(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 1692at5820           -            932   7.3e-05   19.6   7.7   1   4     0.041        89   -0.5   0.0     4    29    10    35     8    45 0.89 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 1692at5820           -            932   7.3e-05   19.6   7.7   2   4     0.092     2e+02   -1.7   0.1    87   109    50    72    39   185 0.50 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 1692at5820           -            932   7.3e-05   19.6   7.7   3   4   3.4e-08   7.3e-05   19.6   7.7     2   116   239   343   238   371 0.74 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 1692at5820           -            932   7.3e-05   19.6   7.7   4   4   0.00071       1.6    5.3   0.4     2    35   374   407   373   414 0.87 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411400.1-p1   -            477 1692at5820           -            932      0.88    6.1   5.3   1   2     0.019        42    0.6   1.5    57   109    49   103    12   110 0.83 | transcript=PVP01_0411400.1 | gene=PVP01_0411400 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_04_v2:468113-470149(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
