#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0204100.1-p1   -           1439 1087at5820           -            852         0 1461.4  84.7   1   7   0.00026      0.15    8.5   0.0     7    36    40    73    36    85 0.79 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 1087at5820           -            852         0 1461.4  84.7   2   7      0.15        91   -0.7   0.0    36    51   171   186   166   204 0.87 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 1087at5820           -            852         0 1461.4  84.7   3   7   1.4e-17   8.5e-15   52.3   3.2    44    99   222   278   193   285 0.83 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 1087at5820           -            852         0 1461.4  84.7   4   7   1.2e-13   7.1e-11   39.4   0.2    89   135   332   383   312   391 0.81 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 1087at5820           -            852         0 1461.4  84.7   5   7   9.6e-08   5.7e-05   19.8   2.3   146   198   612   672   603   676 0.76 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 1087at5820           -            852         0 1461.4  84.7   6   7         0         0 1024.5  18.6   193   633   733  1174   718  1188 0.97 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 1087at5820           -            852         0 1461.4  84.7   7   7    5e-104    3e-101  338.3  28.6   633   852  1208  1430  1203  1430 0.98 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820800.1-p1   -           1285 1087at5820           -            852   8.2e-89  297.2  19.4   1   1   2.1e-91   1.2e-88  296.6  19.4   205   607   507   898   489   939 0.85 | transcript=PVP01_0820800.1 | gene=PVP01_0820800 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=PvP01_08_v2:911832-915689(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 1087at5820           -            852   6.9e-67  224.7  29.4   1   3   1.8e-24     1e-21   75.2   3.7   192   311    10   121     3   126 0.92 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 1087at5820           -            852   6.9e-67  224.7  29.4   2   3   1.4e-51   8.1e-49  164.9  17.9   338   631   239   522   234   566 0.80 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 1087at5820           -            852   6.9e-67  224.7  29.4   3   3       1.1   6.3e+02   -3.5  11.3   695   808   803   924   780   944 0.64 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
