#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0620000.1-p1   -            886 2073at5820           -            783         0 1494.9  50.8   1   1         0         0 1491.3  50.8     1   779     1   879     1   886 0.93 | transcript=PVP01_0620000.1 | gene=PVP01_0620000 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_06_v2:812696-815356(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804700.1-p1   -            748 2073at5820           -            783   4.5e-66  221.9  21.3   1   2   2.9e-45   3.2e-42  143.0   7.7   178   407   161   401   152   407 0.87 | transcript=PVP01_0804700.1 | gene=PVP01_0804700 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_08_v2:225040-227286(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804700.1-p1   -            748 2073at5820           -            783   4.5e-66  221.9  21.3   2   2   1.4e-27   1.5e-24   84.6   5.6   407   617   494   717   490   722 0.83 | transcript=PVP01_0804700.1 | gene=PVP01_0804700 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_08_v2:225040-227286(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221800.1-p1   -           1206 2073at5820           -            783   5.6e-20   69.5   0.9   1   3   9.1e-07   0.00099   15.7   0.1   178   245   100   169    80   201 0.81 | transcript=PVP01_1221800.1 | gene=PVP01_1221800 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_12_v2:864226-867846(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221800.1-p1   -           1206 2073at5820           -            783   5.6e-20   69.5   0.9   2   3     0.029        32    0.8   0.0   330   389   530   591   521   605 0.82 | transcript=PVP01_1221800.1 | gene=PVP01_1221800 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_12_v2:864226-867846(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221800.1-p1   -           1206 2073at5820           -            783   5.6e-20   69.5   0.9   3   3   6.8e-17   7.4e-14   49.2   0.0   406   488   668   752   658   773 0.86 | transcript=PVP01_1221800.1 | gene=PVP01_1221800 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_12_v2:864226-867846(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 2073at5820           -            783   2.2e-13   47.6   4.1   1   3     3e-11   3.3e-08   30.5   0.6   179   356   151   333   147   345 0.74 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 2073at5820           -            783   2.2e-13   47.6   4.1   2   3   2.5e-07   0.00028   17.6   0.0   453   485   916   948   910   964 0.87 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 2073at5820           -            783   2.2e-13   47.6   4.1   3   3      0.42   4.6e+02   -3.0   0.1    98   141  1073  1116  1061  1127 0.84 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 2073at5820           -            783   7.6e-13   45.9   0.1   1   3   5.9e-06    0.0064   13.0   0.0   177   232    73   128    57   150 0.86 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 2073at5820           -            783   7.6e-13   45.9   0.1   2   3   2.1e-10   2.3e-07   27.7   0.1   409   474   568   635   547   645 0.89 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 2073at5820           -            783   7.6e-13   45.9   0.1   3   3     0.038        41    0.4   0.0   472   503   670   701   654   715 0.86 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
