#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1455100.1-p1   -            631 4970at5820           -            546         0 1084.9  47.1   1   3  1.3e-171  1.5e-168  560.4  13.7     1   260     1   263     1   270 0.99 | transcript=PVP01_1455100.1 | gene=PVP01_1455100 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=PvP01_14_v2:2392635-2394655(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455100.1-p1   -            631 4970at5820           -            546         0 1084.9  47.1   2   3  8.9e-159  9.7e-156  518.1  15.1   252   521   295   577   284   583 0.97 | transcript=PVP01_1455100.1 | gene=PVP01_1455100 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=PvP01_14_v2:2392635-2394655(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455100.1-p1   -            631 4970at5820           -            546         0 1084.9  47.1   3   3   1.8e-07    0.0002   18.7   2.4   501   546   586   631   582   631 0.90 | transcript=PVP01_1455100.1 | gene=PVP01_1455100 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=PvP01_14_v2:2392635-2394655(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 4970at5820           -            546   8.7e-43  145.3  16.7   1   3   5.9e-06    0.0064   13.7   4.6    12   187    57   231    51   247 0.76 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 4970at5820           -            546   8.7e-43  145.3  16.7   2   3   1.3e-32   1.4e-29  101.7   0.1     7   212   512   731   507   757 0.85 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 4970at5820           -            546   8.7e-43  145.3  16.7   3   3   6.5e-13     7e-10   36.7   0.8   289   363   905   981   862  1002 0.83 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 4970at5820           -            546   4.5e-28   96.7  16.8   1   4   1.9e-09   2.1e-06   25.2   5.4    15   120   210   311   195   357 0.80 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 4970at5820           -            546   4.5e-28   96.7  16.8   2   4   8.1e-13   8.8e-10   36.3   0.0     9    90   660   750   653   760 0.81 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 4970at5820           -            546   4.5e-28   96.7  16.8   3   4   6.5e-09   7.1e-06   23.5   0.2   113   200   818   908   814   952 0.86 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 4970at5820           -            546   4.5e-28   96.7  16.8   4   4   5.8e-07   0.00063   17.0   0.1   295   355  1193  1256  1187  1263 0.83 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518300.1-p1   -            406 4970at5820           -            546   5.1e-24   83.3   6.0   1   2   3.6e-26   3.9e-23   80.4   3.2    20   220     4   226     1   266 0.79 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
