#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0605600.1-p1   -            536 6942at5820           -            402  2.1e-190  631.4  13.6   1   2  5.8e-147  7.5e-144  478.1  12.6     1   300     1   340     1   349 0.90 | transcript=PVP01_0605600.1 | gene=PVP01_0605600 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=PvP01_06_v2:226050-227855(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605600.1-p1   -            536 6942at5820           -            402  2.1e-190  631.4  13.6   2   2   4.9e-47   6.4e-44  149.0   0.0   299   402   405   517   402   517 0.93 | transcript=PVP01_0605600.1 | gene=PVP01_0605600 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=PvP01_06_v2:226050-227855(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930100.1-p1   -            641 6942at5820           -            402     2e-12   45.3   6.4   1   3      0.32   4.2e+02   -1.9   0.1    95   162   193   256   162   284 0.59 | transcript=PVP01_0930100.1 | gene=PVP01_0930100 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_09_v2:1310745-1312670(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930100.1-p1   -            641 6942at5820           -            402     2e-12   45.3   6.4   2   3     1e-05     0.013   12.9   0.1   157   205   300   348   288   377 0.86 | transcript=PVP01_0930100.1 | gene=PVP01_0930100 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_09_v2:1310745-1312670(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930100.1-p1   -            641 6942at5820           -            402     2e-12   45.3   6.4   3   3   2.5e-12   3.2e-09   34.7   0.3   316   365   405   454   391   503 0.84 | transcript=PVP01_0930100.1 | gene=PVP01_0930100 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_09_v2:1310745-1312670(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911800.1-p1   -            505 6942at5820           -            402   1.4e-07   29.3   4.2   1   3       0.1   1.4e+02   -0.3   0.1   189   235     7    57     3    66 0.76 | transcript=PVP01_0911800.1 | gene=PVP01_0911800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=PvP01_09_v2:567415-568932(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911800.1-p1   -            505 6942at5820           -            402   1.4e-07   29.3   4.2   2   3    0.0063       8.3    3.7   0.0   149   183   208   242   173   261 0.78 | transcript=PVP01_0911800.1 | gene=PVP01_0911800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=PvP01_09_v2:567415-568932(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911800.1-p1   -            505 6942at5820           -            402   1.4e-07   29.3   4.2   3   3   1.7e-09   2.2e-06   25.4   0.2   313   369   363   420   341   445 0.80 | transcript=PVP01_0911800.1 | gene=PVP01_0911800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=PvP01_09_v2:567415-568932(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 6942at5820           -            402   0.00014   19.5   0.2   1   6     0.001       1.3    6.3   1.9   113   186    95   165    59   184 0.67 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 6942at5820           -            402   0.00014   19.5   0.2   2   6     1e-07   0.00014   19.5   0.2   320   373   377   430   373   442 0.88 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 6942at5820           -            402   0.00014   19.5   0.2   3   6       2.9   3.8e+03   -5.0   2.9    27    46   531   550   518   570 0.53 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
