#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1313700.1-p1   -            499 6051at5820           -            397  2.4e-241  799.1  30.1   1   2  5.1e-117  4.2e-114  380.1   0.5     1   197    24   236    24   249 0.95 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 6051at5820           -            397  2.4e-241  799.1  30.1   2   2  6.2e-130  5.1e-127  422.6  23.4   177   396   264   498   258   499 0.94 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436100.1-p1   -            871 6051at5820           -            397   4.1e-14   50.9  16.2   1   4   1.1e-07   9.2e-05   20.1   0.0    68   171   294   396   288   413 0.86 | transcript=PVP01_1436100.1 | gene=PVP01_1436100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=PvP01_14_v2:1519543-1522158(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436100.1-p1   -            871 6051at5820           -            397   4.1e-14   50.9  16.2   2   4     0.035        29    2.0   0.1   227   287   496   552   464   556 0.78 | transcript=PVP01_1436100.1 | gene=PVP01_1436100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=PvP01_14_v2:1519543-1522158(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436100.1-p1   -            871 6051at5820           -            397   4.1e-14   50.9  16.2   3   4   3.5e-11   2.8e-08   31.7   4.7    50   171   549   681   542   688 0.78 | transcript=PVP01_1436100.1 | gene=PVP01_1436100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=PvP01_14_v2:1519543-1522158(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436100.1-p1   -            871 6051at5820           -            397   4.1e-14   50.9  16.2   4   4     0.012        10    3.5   1.6   231   281   688   742   679   766 0.74 | transcript=PVP01_1436100.1 | gene=PVP01_1436100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=PvP01_14_v2:1519543-1522158(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 6051at5820           -            397   8.2e-07   26.8   1.6   1   2    0.0071       5.8    4.3   0.1   218   255   245   285   234   309 0.79 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 6051at5820           -            397   8.2e-07   26.8   1.6   2   2   4.5e-08   3.7e-05   21.4   0.1    59   126   314   378   300   388 0.77 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313000.1-p1   -            417 6051at5820           -            397   9.9e-05   20.0   6.4   1   2   6.9e-06    0.0056   14.2   0.6   216   283   127   192   121   197 0.87 | transcript=PVP01_1313000.1 | gene=PVP01_1313000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_13_v2:585179-586432(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313000.1-p1   -            417 6051at5820           -            397   9.9e-05   20.0   6.4   2   2    0.0013       1.1    6.7   0.7    69   111   205   249   194   328 0.65 | transcript=PVP01_1313000.1 | gene=PVP01_1313000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_13_v2:585179-586432(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0826700.1-p1   -            770 6051at5820           -            397   0.00063   17.3   0.0   1   2    0.0013       1.1    6.7   0.0    66    88    12    34     8    73 0.89 | transcript=PVP01_0826700.1 | gene=PVP01_0826700 | organism=Plasmodium_vivax_P01 | gene_product=Ras-like G protein, putative | transcript_product=Ras-like G protein, putative | location=PvP01_08_v2:1182748-1185060(-) | protein_length=770 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
