#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1113000.1-p1   -            367 7557at5820           -            335  6.8e-221  730.6   7.0   1   1  9.5e-224  7.8e-221  730.4   7.0     1   335     1   351     1   351 0.97 | transcript=PVP01_1113000.1 | gene=PVP01_1113000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:563234-566336(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1009500.1-p1   -            365 7557at5820           -            335  3.2e-121  402.9   2.0   1   1  4.7e-124  3.8e-121  402.7   2.0     1   333     1   348     1   350 0.94 | transcript=PVP01_1009500.1 | gene=PVP01_1009500 | organism=Plasmodium_vivax_P01 | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=PvP01_10_v2:422852-423949(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521200.1-p1   -            643 7557at5820           -            335   2.6e-08   31.8   0.5   1   2      0.18   1.5e+02   -0.3   0.3   225   268   405   447   387   460 0.76 | transcript=PVP01_0521200.1 | gene=PVP01_0521200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_05_v2:863369-865300(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521200.1-p1   -            643 7557at5820           -            335   2.6e-08   31.8   0.5   2   2   2.2e-10   1.8e-07   29.1   0.0    63   162   461   570   449   574 0.73 | transcript=PVP01_0521200.1 | gene=PVP01_0521200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_05_v2:863369-865300(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337300.1-p1   -            570 7557at5820           -            335   2.7e-06   25.1   2.5   1   2   2.8e-08   2.3e-05   22.1   0.0    65   101   226   262   191   275 0.85 | transcript=PVP01_1337300.1 | gene=PVP01_1337300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=PvP01_13_v2:1604816-1606528(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337300.1-p1   -            570 7557at5820           -            335   2.7e-06   25.1   2.5   2   2     0.099        81    0.6   1.1   242   312   366   437   337   448 0.66 | transcript=PVP01_1337300.1 | gene=PVP01_1337300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=PvP01_13_v2:1604816-1606528(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136200.1-p1   -            818 7557at5820           -            335   6.1e-06   24.0   0.2   1   2       2.2   1.8e+03   -3.8   0.0    11    30    22    41    17    51 0.76 | transcript=PVP01_1136200.1 | gene=PVP01_1136200 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=PvP01_11_v2:1549548-1552004(-) | protein_length=818 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136200.1-p1   -            818 7557at5820           -            335   6.1e-06   24.0   0.2   2   2   1.7e-08   1.4e-05   22.8   0.1    63   147   172   261   167   349 0.84 | transcript=PVP01_1136200.1 | gene=PVP01_1136200 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=PvP01_11_v2:1549548-1552004(-) | protein_length=818 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 7557at5820           -            335    0.0009   16.9   0.4   1   2      0.55   4.5e+02   -1.9   0.0   163   163   251   251   216   286 0.54 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 7557at5820           -            335    0.0009   16.9   0.4   2   2   3.4e-06    0.0028   15.3   0.1    53   117   312   377   305   390 0.83 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510000.1-p1   -            747 7557at5820           -            335    0.0063   14.1   0.0   1   1   1.5e-05     0.012   13.2   0.0    64   151   408   499   399   508 0.86 | transcript=PVP01_0510000.1 | gene=PVP01_0510000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=PvP01_05_v2:442521-444764(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
