#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0307100.1-p1   -           1608 1231at5820           -            664  1.6e-255  848.0  70.3   1  10   0.00063       1.4    5.6   0.0     1    27     1    27     1    61 0.79 | transcript=PVP01_0307100.1 | gene=PVP01_0307100 | organism=Plasmodium_vivax_P01 | gene_product=protein CINCH, putative | transcript_product=protein CINCH, putative | location=PvP01_03_v2:351201-356027(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307100.1-p1   -           1608 1231at5820           -            664  1.6e-255  848.0  70.3   2  10   6.1e-28   1.3e-24   84.9   1.5    39   105   117   187   105   193 0.89 | transcript=PVP01_0307100.1 | gene=PVP01_0307100 | organism=Plasmodium_vivax_P01 | gene_product=protein CINCH, putative | transcript_product=protein CINCH, putative | location=PvP01_03_v2:351201-356027(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307100.1-p1   -           1608 1231at5820           -            664  1.6e-255  848.0  70.3   3  10   3.1e-36   6.8e-33  112.3   7.5   104   192   314   414   286   423 0.83 | transcript=PVP01_0307100.1 | gene=PVP01_0307100 | organism=Plasmodium_vivax_P01 | gene_product=protein CINCH, putative | transcript_product=protein CINCH, putative | location=PvP01_03_v2:351201-356027(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307100.1-p1   -           1608 1231at5820           -            664  1.6e-255  848.0  70.3   4  10   9.4e-10     2e-06   24.8   0.0   194   234   511   553   491   562 0.83 | transcript=PVP01_0307100.1 | gene=PVP01_0307100 | organism=Plasmodium_vivax_P01 | gene_product=protein CINCH, putative | transcript_product=protein CINCH, putative | location=PvP01_03_v2:351201-356027(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307100.1-p1   -           1608 1231at5820           -            664  1.6e-255  848.0  70.3   5  10   2.1e-30   4.5e-27   93.1   0.0   228   296   596   677   591   678 0.88 | transcript=PVP01_0307100.1 | gene=PVP01_0307100 | organism=Plasmodium_vivax_P01 | gene_product=protein CINCH, putative | transcript_product=protein CINCH, putative | location=PvP01_03_v2:351201-356027(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307100.1-p1   -           1608 1231at5820           -            664  1.6e-255  848.0  70.3   6  10   4.3e-22   9.4e-19   65.6   0.0   297   347   767   817   761   828 0.91 | transcript=PVP01_0307100.1 | gene=PVP01_0307100 | organism=Plasmodium_vivax_P01 | gene_product=protein CINCH, putative | transcript_product=protein CINCH, putative | location=PvP01_03_v2:351201-356027(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307100.1-p1   -           1608 1231at5820           -            664  1.6e-255  848.0  70.3   7  10   1.7e-05     0.037   10.7   0.1   349   374   867   892   859   895 0.88 | transcript=PVP01_0307100.1 | gene=PVP01_0307100 | organism=Plasmodium_vivax_P01 | gene_product=protein CINCH, putative | transcript_product=protein CINCH, putative | location=PvP01_03_v2:351201-356027(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307100.1-p1   -           1608 1231at5820           -            664  1.6e-255  848.0  70.3   8  10  8.5e-142  1.8e-138  461.1  33.0   373   628   926  1189   924  1214 0.96 | transcript=PVP01_0307100.1 | gene=PVP01_0307100 | organism=Plasmodium_vivax_P01 | gene_product=protein CINCH, putative | transcript_product=protein CINCH, putative | location=PvP01_03_v2:351201-356027(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307100.1-p1   -           1608 1231at5820           -            664  1.6e-255  848.0  70.3   9  10      0.02        43    0.6   0.1   621   647  1218  1244  1213  1260 0.79 | transcript=PVP01_0307100.1 | gene=PVP01_0307100 | organism=Plasmodium_vivax_P01 | gene_product=protein CINCH, putative | transcript_product=protein CINCH, putative | location=PvP01_03_v2:351201-356027(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307100.1-p1   -           1608 1231at5820           -            664  1.6e-255  848.0  70.3  10  10     0.016        35    0.9   0.4   637   660  1385  1408  1370  1412 0.76 | transcript=PVP01_0307100.1 | gene=PVP01_0307100 | organism=Plasmodium_vivax_P01 | gene_product=protein CINCH, putative | transcript_product=protein CINCH, putative | location=PvP01_03_v2:351201-356027(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121700.1-p1   -            978 1231at5820           -            664    0.0077   13.0   5.4   1   1   5.6e-06     0.012   12.3   5.4   171   290    13   132     4   175 0.76 | transcript=PVP01_1121700.1 | gene=PVP01_1121700 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=PvP01_11_v2:961821-964757(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
