#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1233700.1-p1   -            620 5842at5820           -            485  2.5e-267  885.7  30.5   1   2   8.6e-10   1.1e-06   26.0   2.8     1    28     1    28     1    38 0.94 | transcript=PVP01_1233700.1 | gene=PVP01_1233700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_12_v2:1353224-1355342(+) | protein_length=620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233700.1-p1   -            620 5842at5820           -            485  2.5e-267  885.7  30.5   2   2  8.5e-264  1.1e-260  863.7  19.9    22   485    66   620    55   620 0.94 | transcript=PVP01_1233700.1 | gene=PVP01_1233700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_12_v2:1353224-1355342(+) | protein_length=620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206300.1-p1   -            348 5842at5820           -            485   2.1e-14   51.5  19.5   1   3     0.039        51    0.8   0.5   396   454    10    68     2    85 0.68 | transcript=PVP01_1206300.1 | gene=PVP01_1206300 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=PvP01_12_v2:245172-246719(-) | protein_length=348 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206300.1-p1   -            348 5842at5820           -            485   2.1e-14   51.5  19.5   2   3    0.0027       3.5    4.6   1.2    30    77    49    98    34   108 0.80 | transcript=PVP01_1206300.1 | gene=PVP01_1206300 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=PvP01_12_v2:245172-246719(-) | protein_length=348 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206300.1-p1   -            348 5842at5820           -            485   2.1e-14   51.5  19.5   3   3   1.2e-16   1.5e-13   48.7   8.9   110   296   107   278    97   287 0.81 | transcript=PVP01_1206300.1 | gene=PVP01_1206300 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=PvP01_12_v2:245172-246719(-) | protein_length=348 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421000.1-p1   -            595 5842at5820           -            485   1.1e-12   45.8   5.8   1   4      0.55   7.2e+02   -3.0   0.3   235   269    28    63    13    94 0.59 | transcript=PVP01_1421000.1 | gene=PVP01_1421000 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=PvP01_14_v2:916098-917885(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421000.1-p1   -            595 5842at5820           -            485   1.1e-12   45.8   5.8   2   4      0.27   3.6e+02   -2.0   0.3   440   470   167   197   125   205 0.62 | transcript=PVP01_1421000.1 | gene=PVP01_1421000 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=PvP01_14_v2:916098-917885(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421000.1-p1   -            595 5842at5820           -            485   1.1e-12   45.8   5.8   3   4   4.2e-11   5.4e-08   30.4   0.0   133   192   307   368   295   376 0.80 | transcript=PVP01_1421000.1 | gene=PVP01_1421000 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=PvP01_14_v2:916098-917885(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421000.1-p1   -            595 5842at5820           -            485   1.1e-12   45.8   5.8   4   4   2.5e-09   3.3e-06   24.5   3.0   242   294   391   443   386   451 0.91 | transcript=PVP01_1421000.1 | gene=PVP01_1421000 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=PvP01_14_v2:916098-917885(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705700.1-p1   -           1224 5842at5820           -            485   9.2e-08   29.6  12.1   1   4   1.6e-10   2.1e-07   28.4   1.2    97   191   258   360   251   362 0.80 | transcript=PVP01_0705700.1 | gene=PVP01_0705700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_07_v2:322792-326466(+) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705700.1-p1   -           1224 5842at5820           -            485   9.2e-08   29.6  12.1   2   4   1.2e-06    0.0016   15.6   3.9   231   297   355   421   344   429 0.93 | transcript=PVP01_0705700.1 | gene=PVP01_0705700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_07_v2:322792-326466(+) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
