#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0518300.1-p1   -            406 7619at5820           -            348  3.2e-159  528.2   8.9   1   3   5.7e-83   5.3e-80  267.7   4.6     3   150     4   155     2   158 0.98 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518300.1-p1   -            406 7619at5820           -            348  3.2e-159  528.2   8.9   2   3   3.1e-38   2.9e-35  120.5   0.2   150   237   174   263   168   271 0.94 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518300.1-p1   -            406 7619at5820           -            348  3.2e-159  528.2   8.9   3   3   2.2e-44   2.1e-41  140.7   0.0   237   347   286   404   276   405 0.93 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455100.1-p1   -            631 7619at5820           -            348   1.3e-30  105.2  20.9   1   3   1.7e-32   1.6e-29  101.6   9.6     1   204    18   223    18   240 0.82 | transcript=PVP01_1455100.1 | gene=PVP01_1455100 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=PvP01_14_v2:2392635-2394655(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455100.1-p1   -            631 7619at5820           -            348   1.3e-30  105.2  20.9   2   3   8.2e-05     0.076   10.6   1.2   169   235   324   394   296   403 0.81 | transcript=PVP01_1455100.1 | gene=PVP01_1455100 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=PvP01_14_v2:2392635-2394655(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455100.1-p1   -            631 7619at5820           -            348   1.3e-30  105.2  20.9   3   3      0.51   4.8e+02   -1.9   0.0   259   289   455   484   454   491 0.70 | transcript=PVP01_1455100.1 | gene=PVP01_1455100 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=PvP01_14_v2:2392635-2394655(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 7619at5820           -            348   1.7e-25   88.4  20.3   1   3   3.3e-10     3e-07   28.4  10.9     2   170    64   233    63   275 0.82 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 7619at5820           -            348   1.7e-25   88.4  20.3   2   3   1.9e-18   1.7e-15   55.5   0.1     2   170   524   705   523   715 0.76 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 7619at5820           -            348   1.7e-25   88.4  20.3   3   3   0.00022      0.21    9.2   0.3   179   255   908   984   881   994 0.79 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 7619at5820           -            348   1.3e-20   72.3  15.4   1   4   8.5e-10     8e-07   27.0   3.9     2    67   214   279   213   319 0.77 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 7619at5820           -            348   1.3e-20   72.3  15.4   2   4     2e-13   1.9e-10   38.9   0.1     2    67   670   744   669   756 0.86 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 7619at5820           -            348   1.3e-20   72.3  15.4   3   4   2.5e-05     0.023   12.3   0.4    92   174   818   901   814   919 0.78 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 7619at5820           -            348   1.3e-20   72.3  15.4   4   4       1.2   1.1e+03   -3.1   0.0   186   234  1195  1244  1192  1248 0.78 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
