#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1335200.1-p1   -           1289 2674at5820           -            536  1.5e-165  550.4  66.9   1   9   1.2e-48   7.6e-45  152.0   4.7     4   109    46   154    42   161 0.91 | transcript=PVP01_1335200.1 | gene=PVP01_1335200 | organism=Plasmodium_vivax_P01 | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=PvP01_13_v2:1525127-1530978(+) | protein_length=1289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335200.1-p1   -           1289 2674at5820           -            536  1.5e-165  550.4  66.9   2   9   2.8e-21   1.8e-17   61.7   0.5   121   183   233   303   214   313 0.88 | transcript=PVP01_1335200.1 | gene=PVP01_1335200 | organism=Plasmodium_vivax_P01 | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=PvP01_13_v2:1525127-1530978(+) | protein_length=1289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335200.1-p1   -           1289 2674at5820           -            536  1.5e-165  550.4  66.9   3   9     6e-23   3.9e-19   67.2   0.0   180   237   326   385   318   393 0.89 | transcript=PVP01_1335200.1 | gene=PVP01_1335200 | organism=Plasmodium_vivax_P01 | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=PvP01_13_v2:1525127-1530978(+) | protein_length=1289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335200.1-p1   -           1289 2674at5820           -            536  1.5e-165  550.4  66.9   4   9    0.0049        32    1.4   0.2   233   253   403   423   398   434 0.81 | transcript=PVP01_1335200.1 | gene=PVP01_1335200 | organism=Plasmodium_vivax_P01 | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=PvP01_13_v2:1525127-1530978(+) | protein_length=1289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335200.1-p1   -           1289 2674at5820           -            536  1.5e-165  550.4  66.9   5   9   2.2e-05      0.14    9.2   3.2   247   274   452   482   420   486 0.65 | transcript=PVP01_1335200.1 | gene=PVP01_1335200 | organism=Plasmodium_vivax_P01 | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=PvP01_13_v2:1525127-1530978(+) | protein_length=1289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335200.1-p1   -           1289 2674at5820           -            536  1.5e-165  550.4  66.9   6   9   7.5e-11   4.9e-07   27.3   2.1   273   343   503   578   492   602 0.69 | transcript=PVP01_1335200.1 | gene=PVP01_1335200 | organism=Plasmodium_vivax_P01 | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=PvP01_13_v2:1525127-1530978(+) | protein_length=1289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335200.1-p1   -           1289 2674at5820           -            536  1.5e-165  550.4  66.9   7   9   6.1e-09     4e-05   20.9   0.1   308   350   609   651   604   666 0.81 | transcript=PVP01_1335200.1 | gene=PVP01_1335200 | organism=Plasmodium_vivax_P01 | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=PvP01_13_v2:1525127-1530978(+) | protein_length=1289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335200.1-p1   -           1289 2674at5820           -            536  1.5e-165  550.4  66.9   8   9   6.3e-22   4.1e-18   63.8  12.7   333   430   793   899   726   915 0.79 | transcript=PVP01_1335200.1 | gene=PVP01_1335200 | organism=Plasmodium_vivax_P01 | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=PvP01_13_v2:1525127-1530978(+) | protein_length=1289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335200.1-p1   -           1289 2674at5820           -            536  1.5e-165  550.4  66.9   9   9   4.9e-56   3.2e-52  176.4   0.1   433   536  1121  1227  1112  1227 0.96 | transcript=PVP01_1335200.1 | gene=PVP01_1335200 | organism=Plasmodium_vivax_P01 | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=PvP01_13_v2:1525127-1530978(+) | protein_length=1289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2674at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2674at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2674at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:16 2026
# [ok]
