#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1121300.1-p1   -           2587 352at5820            -           1432         0 2314.3 207.1   1   9   2.2e-17   8.5e-15   52.0   0.8     9    71    80   142    76   184 0.87 | transcript=PVP01_1121300.1 | gene=PVP01_1121300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=PvP01_11_v2:912876-920639(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121300.1-p1   -           2587 352at5820            -           1432         0 2314.3 207.1   2   9     2e-87   7.5e-85  284.1  35.9    69   314   419   720   403   736 0.76 | transcript=PVP01_1121300.1 | gene=PVP01_1121300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=PvP01_11_v2:912876-920639(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121300.1-p1   -           2587 352at5820            -           1432         0 2314.3 207.1   3   9    0.0019      0.71    5.8   3.4   285   328   852   896   848   910 0.85 | transcript=PVP01_1121300.1 | gene=PVP01_1121300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=PvP01_11_v2:912876-920639(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121300.1-p1   -           2587 352at5820            -           1432         0 2314.3 207.1   4   9   1.1e-42   4.1e-40  135.8  12.2   315   411   916  1012   900  1019 0.87 | transcript=PVP01_1121300.1 | gene=PVP01_1121300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=PvP01_11_v2:912876-920639(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121300.1-p1   -           2587 352at5820            -           1432         0 2314.3 207.1   5   9   2.8e-79   1.1e-76  257.1   7.4   396   562  1062  1239  1043  1243 0.90 | transcript=PVP01_1121300.1 | gene=PVP01_1121300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=PvP01_11_v2:912876-920639(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121300.1-p1   -           2587 352at5820            -           1432         0 2314.3 207.1   6   9  2.9e-153  1.1e-150  502.3  49.9   560   918  1302  1714  1301  1729 0.86 | transcript=PVP01_1121300.1 | gene=PVP01_1121300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=PvP01_11_v2:912876-920639(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121300.1-p1   -           2587 352at5820            -           1432         0 2314.3 207.1   7   9      0.35   1.4e+02   -1.7   0.7   887   910  1733  1756  1720  1767 0.87 | transcript=PVP01_1121300.1 | gene=PVP01_1121300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=PvP01_11_v2:912876-920639(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121300.1-p1   -           2587 352at5820            -           1432         0 2314.3 207.1   8   9  1.7e-147  6.6e-145  483.1  28.3   896  1170  1767  2077  1761  2088 0.87 | transcript=PVP01_1121300.1 | gene=PVP01_1121300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=PvP01_11_v2:912876-920639(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121300.1-p1   -           2587 352at5820            -           1432         0 2314.3 207.1   9   9  8.7e-193  3.3e-190  633.2   8.4  1162  1432  2230  2504  2144  2504 0.89 | transcript=PVP01_1121300.1 | gene=PVP01_1121300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=PvP01_11_v2:912876-920639(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 352at5820            -           1432   1.9e-13   47.5  26.9   1   4    0.0086       3.3    3.6  10.5   873  1046   393   567   356   585 0.59 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 352at5820            -           1432   1.9e-13   47.5  26.9   2   4   7.7e-13   2.9e-10   36.9   4.5  1172  1283   571   675   553   683 0.76 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 352at5820            -           1432   1.9e-13   47.5  26.9   3   4   1.4e-06   0.00055   16.1   0.0  1321  1406   685   770   680   794 0.79 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 352at5820            -           1432   1.9e-13   47.5  26.9   4   4       1.4   5.4e+02   -3.7   1.0  1059  1119   833   896   800   929 0.59 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416000.1-p1   -            368 352at5820            -           1432     1e-09   35.1   4.9   1   2    0.0004      0.16    8.0   0.1   954  1047   112   204    93   210 0.79 | transcript=PVP01_1416000.1 | gene=PVP01_1416000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=PvP01_14_v2:704450-705556(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416000.1-p1   -            368 352at5820            -           1432     1e-09   35.1   4.9   2   2   1.6e-10   6.3e-08   29.2   1.1  1233  1284   210   260   204   285 0.88 | transcript=PVP01_1416000.1 | gene=PVP01_1416000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=PvP01_14_v2:704450-705556(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 352at5820            -           1432   5.2e-09   32.8   1.0   1   1   2.8e-11   1.1e-08   31.7   1.0  1228  1384  3101  3272  3053  3299 0.70 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
